name	team	number	description	color	style
BAGET ann	Mason_lab	1	BAGET pipeline, using annotation	#FF7F00	2
GEM ann	GEM	4	GEM with de novo junction discovery and annotation	#E41A1C	2
GEM cons	GEM	2	GEM with conservative de novo junction discovery	#E41A1C	3
GEM cons ann	GEM	3	GEM with conservative de novo junction discovery and annotation	#E41A1C	4
GSNAP	Thomas_Wu	1	GSNAP	#00E0D0	1
GSNAP ann	Thomas_Wu	2	GSNAP with annotation	#00E0D0	2
GSTRUCT	Thomas_Wu	3	GSTRUCT	#00E0D0	3
GSTRUCT ann	Thomas_Wu	4	GSTRUCT with annotation	#00E0D0	4
MapSplice	MapSplice	1	MapSplice	#984EA3	1
MapSplice ann	MapSplice	2	MapSplice with annotation	#984EA3	2
PALMapper	Raetsch_lab	1	PALMapper with multimapper resolution	#A65628	1
PALMapper ann	Raetsch_lab	3	PALMapper with multimapper resolution and annotation	#A65628	2
PALMapper cons	Raetsch_lab	2	PALMapper with filtering and score optimization	#A65628	3
PALMapper cons ann	Raetsch_lab	4	PALMapper with filtering, score optimization and annotation	#A65628	4
PASS	CRIBI	1	PASS	#377EB8	1
PASS cons	CRIBI	2	PASS with coverage filter	#377EB8	3
ReadsMap	Softberry	1	ReadsMap	#F781BF	1
SMALT	Sanger	2	SMALT	#E5C494	1
STAR 1-pass	Gingeras_lab	1	STAR 1-pass	#4DAF4A	1
STAR 1-pass ann	Gingeras_lab	3	STAR 1-pass with annotation	#4DAF4A	2
STAR 2-pass	Gingeras_lab	2	STAR 2-pass	#4DAF4A	3
STAR 2-pass ann	Gingeras_lab	4	STAR 2-pass with annotation	#4DAF4A	4
TopHat v1	TopHat	1	TopHat version 1.3.2	#A0A0A0	1
TopHat v1 ann	TopHat	2	TopHat version 1.3.2 with annotation	#A0A0A0	2
TopHat v2	TopHat	3	TopHat version 2.0.3	#A0A0A0	3
TopHat v2 ann	TopHat	4	TopHat version 2.0.3 with annotation	#A0A0A0	4
Truth	Truth	1	Correct alignments from simulator	#000000	1
