intron	mm	del	ins
0	0	0	0
0	0	0	0
0	1545698	1	0
0	1210834	1	0
429	1004082	36	0
1055	1440056	46	1
2126	1109254	192	6
10596	843321	521	83
36492	1466079	1261	475
168465	805117	3674	2278
326792	1528864	5884	4887
452019	688621	7106	6636
502491	726172	8726	6591
537235	699835	9450	6119
561149	721299	9580	5935
557207	888094	10112	6497
598700	812615	10393	7196
581635	697261	10679	8531
594301	1682988	10889	10000
584573	794780	11248	10834
601142	839476	11638	12378
609770	829426	11586	13175
603338	689371	11957	15497
616013	795195	11959	16222
592799	789682	12380	16760
604825	1172632	12217	18218
611883	872576	12701	19035
605657	900982	12223	20459
617439	833642	12161	19965
620834	865736	12638	20154
612582	911654	12431	16473
622722	1044669	13218	14823
628320	890850	12753	14721
619111	1129435	12606	14675
613559	999911	12445	14498
623760	961808	12415	14541
646786	981091	12328	14986
646695	1273841	12997	18709
635541	2369078	12455	18556
617805	1415072	12569	14963
619274	1095005	12489	14060
619489	1111482	12380	13508
610832	1232130	12350	13549
607199	1168049	12193	13353
602136	1402055	12591	13647
603866	1244406	12168	13914
602189	1282467	12085	13967
592359	1287978	12052	13726
588782	1384710	11780	13531
577035	1350712	11645	13238
570990	1395826	11523	12803
571426	1426212	11523	12690
569287	1462785	11231	12543
571121	1495852	11074	12056
558535	1527869	10782	11366
564563	1616882	10563	10929
557231	1612098	10705	10150
541167	1655924	10129	9188
531788	1689077	9903	7938
524253	1788044	9496	7017
525526	1812174	9106	6118
500431	1850438	8591	6058
479326	1897251	8200	5846
413250	1928425	7598	6411
286582	1993656	6276	7467
141123	3149348	3921	4481
35045	2376780	1075	2000
8186	2190379	432	479
1317	2493755	171	76
401	2641086	51	1
114	2548257	16	0
0	2438346	3	0
0	2328339	0	0
0	2004615	0	0
0	0	0	0
0	0	0	0
