intron	mm	del	ins
0	0	0	0
0	0	0	0
0	383468	0	0
0	406050	0	0
121	357066	34	0
178	272526	64	0
488	277044	365	3
2951	239704	679	623
10405	257324	1150	1638
39245	239287	1570	3364
71037	265179	2277	3425
91337	271934	2575	6980
98880	323896	3057	7627
106686	256846	3091	15681
107488	241560	6515	14388
112519	265078	9301	11725
110212	269772	15070	7669
113505	283566	15219	18191
118729	291906	14044	18518
113527	292383	22842	11386
114083	277820	31492	36389
118051	288126	6872	58460
113952	286192	17744	91510
114355	330731	32039	83286
119320	318524	31618	124826
117993	349490	32653	50019
118487	273365	19563	39745
120890	355643	12466	44817
118171	335120	10390	56021
116787	332971	8817	71982
121546	327539	11570	50934
116911	371671	7427	105482
116962	338307	15772	37991
119467	343545	9552	38327
115269	384726	25649	21776
119108	383789	16124	26306
124244	317166	14492	46386
121003	351487	17326	27353
120424	355053	9970	25273
123011	371365	10697	18964
118757	385603	9455	20456
119280	374907	19216	21283
120829	453785	10388	24045
117516	404958	8308	23752
118069	510011	9003	22772
118704	409751	19789	20320
117750	519652	30689	22755
117457	433777	43520	20225
120970	500945	14257	19663
115731	412037	15395	18078
116448	453462	9214	17901
118416	516936	13013	22008
115844	512088	6549	22168
116350	525326	7311	19099
116212	467505	4737	16892
113884	503478	5236	19959
114695	516608	5621	15190
117736	528539	3888	16818
112101	554256	3667	8752
110601	592310	3623	8772
114658	596835	3416	7158
111287	615182	3594	7502
107377	603881	2921	5370
93854	597612	2529	4939
68496	574330	2228	6098
36929	702240	1761	4245
9281	753141	740	2475
2141	709206	432	1350
231	754343	256	299
103	763404	137	6
31	741534	9	0
0	731717	0	0
0	704188	0	0
0	640240	0	0
0	0	0	0
0	0	0	0
