intron	mm	del	ins
28233	3666856	13529	0
78722	1110928	8593	0
95680	849051	2746	0
104251	659898	3311	0
122549	446859	2879	0
101831	300094	1185	0
116707	250719	1369	0
94787	207419	3513	0
93620	252881	7528	2875
111351	208441	10575	3623
133544	225689	7226	11763
114200	231156	6573	19572
108126	217275	7382	10812
112057	192679	10756	13342
111235	186378	18741	15658
114973	229048	10341	13786
111738	213946	9543	9890
114758	226792	16737	20627
119866	246717	17250	20552
112902	254122	8938	12539
112896	233870	18566	29548
116610	249460	17659	28679
112491	246846	11536	42579
112700	299999	13401	33502
117368	263991	28781	83023
115917	369981	27532	20661
116589	291216	23329	14831
118695	312424	28072	26552
115474	309702	34408	41759
114129	277210	13346	45670
118531	288468	20922	46014
114808	347012	34785	120117
114254	306902	31203	32608
116473	273413	36491	27723
112191	289163	24582	10473
115369	269473	12091	9957
119788	228071	9733	9702
115831	268124	7624	9110
115415	250351	12205	11027
119176	278989	7797	9988
115207	297322	15299	12672
117073	290663	8202	12015
119054	361074	24920	14877
115273	325524	18316	14910
115681	437443	18341	14976
116404	351565	14840	12579
115596	481536	11487	14268
115063	369065	17704	11593
119272	444295	12916	11708
114345	380513	29794	11233
115763	308884	19345	8503
118398	372778	10040	10307
116007	320421	14865	11536
117009	370624	23717	11374
118482	352236	36321	13475
115785	363986	46274	23341
117350	384870	17796	18548
120522	378552	18605	21134
115927	392475	11343	11643
114806	484463	15621	10576
119094	450665	9863	9389
117751	461362	9854	8753
116807	436973	6753	5262
116640	410455	6475	4131
115519	447888	5011	5311
115976	537927	31816	3452
117710	614835	5794	2254
116193	558884	6473	2329
115607	639061	16687	0
120009	608711	4029	0
113016	628113	5465	0
113395	677194	6772	0
104445	744815	7961	0
74331	803614	6410	0
44241	966041	17579	0
0	1418433	0	0
