intron	mm	del	ins
54497	749364	29606	0
101325	727292	39183	2
143935	693875	40079	4
164722	663980	40646	9
166862	654783	41653	30
171332	632445	41130	144
174668	655023	41254	601
172328	658652	41565	1285
172641	688433	41985	3428
175752	668447	42363	9090
172857	701751	46269	42063
171130	658277	45537	54643
171937	693851	43357	59099
170961	662925	43720	61501
172132	693767	43605	60952
172793	692679	43809	61609
177889	704688	42844	66185
173355	704501	43685	66316
171587	731837	45344	63201
172445	714868	45016	63556
171431	714849	42372	63054
174043	812070	51042	60824
169423	808154	44465	54288
179448	805913	44410	44756
169775	785564	45988	34762
166013	783465	40297	42672
168726	771646	40599	48220
169709	783390	43451	86398
171673	811575	45731	52682
172185	818800	47003	54111
171356	827787	42278	54670
171317	853631	42394	56115
172161	886746	43028	55490
175873	892116	41843	55197
170974	964996	41872	55073
181765	978379	42923	60434
176177	1027567	41583	61303
172173	1048862	42607	60821
173101	1089662	41397	60485
171370	1008388	42086	57399
173438	988774	42894	51680
171726	1031428	43091	50099
178678	1044813	42483	51687
170253	1084820	41597	51438
172863	1081222	43635	50025
169260	1094988	41379	49053
162931	1161077	41700	48276
158860	1171408	38486	48380
151463	1236347	37848	45348
147851	1264529	42809	38894
148975	1142009	38263	25087
154563	1157824	39531	35583
153114	1196103	38554	46289
155512	1254584	38605	50409
155160	1270655	38617	49882
153265	1315693	39980	52255
154722	1319871	40058	52714
153628	1351635	37189	49838
163487	1412128	40308	50840
155870	1461784	40584	50508
153926	1511847	38745	50970
152442	1580999	44289	50934
154418	1650087	38832	51751
154168	1711410	38162	48908
156114	1773008	37838	42308
158764	1762882	38648	32258
155458	1826673	38287	7522
155152	1818380	39380	2731
156938	1854303	41347	1029
167791	1895866	38373	444
153170	1982542	38231	87
149678	2033148	37657	30
136779	2165545	37458	7
109520	2196699	34830	2
80756	2339399	27982	0
0	3760602	0	0
