intron	mm	del	ins
0	0	0	0
0	0	0	0
0	0	0	0
0	511903	0	0
0	450260	2762	0
0	372611	4278	2849
0	319396	5468	2758
0	332185	8312	3255
0	389706	4710	3080
0	354638	4897	8875
0	390334	5512	6043
0	359361	6965	8196
0	391494	6427	13063
0	379228	8125	18288
0	345351	7943	17099
0	444834	7629	16761
0	354208	8355	16229
0	495317	9040	25477
0	483224	8078	29551
97867	433046	9763	20998
98753	551197	9349	49244
99598	414313	11024	65157
100097	486970	10312	115434
101384	518025	10295	90769
101817	548665	9915	89328
102254	534609	11006	64058
101357	465366	22713	66894
101493	560630	33299	52571
101323	524437	40826	72485
100109	507356	20829	135014
98892	498147	25729	51894
99453	570876	41702	46262
99773	508810	42344	74652
98021	559287	44782	83431
94186	661343	30686	66073
77909	649471	19097	75384
31793	554900	19757	151426
4544	558657	15314	53707
2421	571887	20052	44751
1979	566867	13973	31190
1518	637326	20110	29324
1431	591388	14611	31402
1158	704200	30922	33272
956	584030	23099	34684
695	690863	21255	31679
690	649695	20421	34229
475	762419	17319	36825
327	683498	18654	31305
413	782154	19700	32935
223	674078	26400	33527
290	664650	18851	28203
265	693171	15244	30553
107	707648	15941	32048
97	764621	24950	29789
43	706970	34810	26881
15	758650	47849	26087
0	723775	12826	23486
0	733546	12809	22500
0	875327	12879	19204
0	855668	12836	22059
0	875685	11656	31574
0	831966	10780	26633
0	747224	10589	32188
0	809096	10658	24369
0	757954	11375	23120
0	950941	10696	19199
0	973480	9655	17140
0	865907	9184	14745
0	852700	6616	9583
0	824906	6207	9926
0	699585	5642	8166
0	667028	0	0
0	643830	0	0
0	0	0	0
0	0	0	0
0	0	0	0
