intron	mm	del	ins
0	116332	0	0
0	82407	2	0
8	80376	0	1
29	72428	68934	2
42	771196	32642	36183
71	1237554	80162	38713
126	883853	32915	58970
267	639904	53864	49155
205923	1367431	28892	55359
425718	704779	21292	41627
514364	1502734	19163	31699
523792	643974	20019	22632
540132	666064	19760	20554
586873	699534	19043	19657
630780	701164	19210	20279
652549	873668	19530	21016
696243	804089	19885	22272
681932	683007	19673	22996
702901	1696915	19844	24213
695756	777594	19871	24291
694844	829657	19734	24863
709002	819254	20453	25019
696932	676056	19921	25346
706404	765559	20028	25856
677882	770205	20873	26379
685853	1171424	19278	27661
690219	843441	20480	27740
685906	881394	20080	27082
699238	813499	19690	27155
695383	839890	19554	27366
685343	893629	19432	28025
696940	1022331	20480	28105
703074	867553	20166	28100
690721	1115140	19818	28808
686387	982346	19520	27999
685588	926448	20001	28418
702384	949964	20244	28443
687843	1247017	20721	29197
688712	2357249	20325	30455
678805	1373889	20406	29701
691123	1049836	20409	29427
699739	1060825	20708	29072
691662	1176242	20599	29466
689138	1112186	19934	29568
686098	1343071	20102	28576
689361	1166436	19948	28669
692276	1209624	20020	28038
684868	1207900	20122	29058
682691	1304655	20037	29547
672595	1257096	19709	27338
670672	1286743	19799	26936
674260	1316265	20003	26377
673767	1344417	20135	25879
680121	1377622	20403	25540
665835	1403297	20720	25114
677223	1483664	19777	25016
675328	1456628	20297	24231
660160	1485372	20052	23593
653917	1511856	19739	22151
642261	1597402	19331	21408
616713	1594212	19176	20659
563320	1616898	18569	20504
528107	1647698	19186	21103
500745	1661971	19697	21733
474351	1652252	19142	23117
412957	2837073	21197	33302
233600	1940329	31795	42154
147	1683501	52177	55020
52	1759327	35377	46876
30	1737897	76653	61427
13	1624959	27369	36503
11	1552696	62174	39078
3	83116	3	0
0	86192	2	3
0	86546	0	5
0	91616	0	0
