intron	mm	del	ins
0	49154	0	0
0	44338	0	0
1	38545	0	0
4	37658	37130	0
19	636426	39024	27499
45	627883	56748	50524
53	658701	49865	66116
117	671201	55770	73304
80909	748825	53942	78037
130978	734154	53572	75616
154978	779466	58074	77765
166395	734408	53614	77998
172837	779385	57046	77015
177168	746612	58139	78297
182523	783899	53221	77297
186905	784949	53199	77257
196931	800965	54102	80648
193498	802878	54579	85791
193798	835478	58346	85847
195991	815809	55217	87224
196503	815313	55960	90231
199732	928709	64321	89341
196922	935385	55169	90761
209707	931887	55443	92465
199587	906481	54769	90838
200080	890035	55252	91660
202742	899356	54078	91191
202505	922196	54864	134025
205310	955344	58243	91140
205582	962066	59870	91566
202947	973106	54264	91626
202934	1004488	54849	95792
203753	1044203	56303	93643
207580	1048679	56400	95218
202426	1134858	55687	91516
213851	1150188	55230	93172
208942	1206121	53917	92130
203832	1229885	54379	92133
205093	1278625	54611	92920
203373	1174170	54951	91492
204266	1152645	56220	92629
202975	1200422	55590	93042
209784	1216531	54496	93425
201591	1259736	54740	94491
205105	1254030	54767	95592
203757	1268276	54288	96828
201833	1343376	54925	92779
205644	1347579	58262	92882
204125	1407352	54883	92426
198162	1397090	55559	91264
197347	1459494	55370	91148
199975	1478698	55894	91590
195117	1527869	58259	89274
196922	1578680	55764	92566
194038	1594144	55528	95917
189847	1646335	54348	94140
190470	1642319	60534	89569
186678	1675583	54416	83330
193151	1743134	55518	82440
180112	1793087	60122	81837
172144	1835739	53503	77143
163386	1900176	54783	76767
158508	1966098	53785	78124
147916	2024047	51782	81454
136015	2035967	52760	74797
114212	1994444	51953	74704
74323	2025253	54092	74959
44	1970023	59852	74359
19	1775822	50256	68917
28	1745156	58732	67097
6	1752977	41622	49112
2	1674849	41742	31363
1	57291	0	0
0	58199	0	0
0	66623	0	0
0	94681	0	0
