intron	mm	del	ins
42217	5837509	9967	0
51847	2541206	8837	722
121753	2010664	8296	4362
224373	1334505	6910	5153
362729	929597	5303	5479
417673	1288308	4548	5612
461983	931336	4414	6160
465574	682581	4055	6578
467381	1190464	3912	7099
478904	664088	4014	7488
509721	1390777	4000	7677
491088	613187	4243	7938
484605	611589	4305	8084
494709	676340	4354	8402
496413	629242	4820	8950
488702	718360	4695	9518
503037	740346	4998	10021
498631	622474	5119	9554
496361	1523532	5248	10151
493603	669360	5797	16467
503823	735556	6765	24259
501909	705174	8262	20479
505970	602100	10465	15286
511887	688431	10124	9873
491923	688464	9354	8033
500087	1003539	23190	7393
499787	698038	23035	9182
493805	735507	21533	12007
500609	656121	9306	11114
499688	657182	9570	10970
492047	713597	8905	11042
502911	805257	9370	11036
502740	645159	9364	11625
502177	884391	9149	11419
489924	735397	9443	10856
497846	677250	9281	10954
502471	688955	9018	11063
498438	924362	9090	11290
503789	1922636	9331	11330
497641	1041629	9928	11471
507551	734267	9742	11412
506443	740592	9286	11619
506934	836814	9032	11845
506006	763965	8999	11093
503442	970346	9353	11328
504521	809176	9155	12112
510905	834195	9603	11638
509111	831814	9659	12205
513595	907047	9788	8254
508346	877303	9232	6781
504709	808264	10060	6577
509266	816457	9892	7161
518391	841841	8104	7952
520348	857052	6572	11990
511388	885431	5779	11849
522929	934160	5840	11578
520363	920765	5025	11680
510467	935856	5345	12379
506614	958297	5257	11526
506009	1028254	4884	9551
519102	1042120	4700	8878
507500	1073917	4557	8430
505636	1104287	4743	8480
504699	1140452	4796	8755
511536	1190257	5708	8483
507887	2330334	5280	8133
506279	1524496	5503	7542
502693	1354657	8871	7155
491001	1660600	14877	6829
463772	1797695	25651	6635
394404	1800047	50613	6423
296066	1790085	88784	6014
174305	2111007	161773	8312
105554	2244114	205528	1061
90491	2847366	220199	384
0	4085401	0	0
