intron	mm	del	ins
129029	3098502	0	0
103428	808880	0	0
116246	586463	0	0
109363	456559	7657	0
123282	311675	20914	167685
100501	194193	16420	191931
114680	151041	22032	240264
91527	118088	10616	232743
90207	119751	11100	233906
106301	114803	16498	228596
128083	128418	17567	204937
108383	122050	12892	176925
102479	133886	23369	174981
106789	117570	10467	151758
105226	105681	8849	86117
108833	143279	14674	76832
105625	120918	18367	60506
107918	117495	18574	129697
112904	130775	17103	104264
107892	126977	28031	70185
108036	124500	31558	77326
110463	137934	8413	86423
107108	115535	19970	85048
107505	140031	36751	84115
112454	147883	33452	70444
110317	177222	29293	60240
111154	125063	17854	69806
112472	177422	14195	53078
110330	139741	11403	79507
108721	148153	10380	116398
112845	127326	13030	53675
108667	142646	8158	46336
109028	118296	17034	71863
111784	134374	9693	75615
107639	181619	24158	70295
110600	163904	15225	80351
114650	136531	15175	151058
110059	155168	13310	68905
110999	128716	10845	57821
113749	137362	10549	55103
110642	166424	10822	75643
111516	149209	18879	53159
112754	157975	10388	50044
109780	127350	8792	47047
110693	257015	9499	55599
111704	182201	21188	91023
110692	227240	33325	59785
110781	182431	48620	61738
114872	170693	17647	59695
109992	151586	18087	63309
111241	156569	10568	65559
112683	200162	16553	63114
111392	146493	10676	61646
112524	174005	9292	62236
111866	171991	11103	60246
110220	169838	7948	52688
110866	179061	10044	51303
115406	177300	10052	54778
109624	185477	6268	50886
109319	199331	7308	52741
113893	226478	6147	61378
112225	241760	5894	60515
112373	238615	5920	64466
112255	249758	5739	54069
110784	240664	5891	55589
112244	300609	6116	54271
113696	345791	4874	54630
113184	336647	9364	47477
113385	362983	4238	41876
118126	380429	4534	37243
117662	388971	7797	35992
116799	412897	2095	34347
122065	463549	0	0
125380	489436	0	0
142461	560450	0	0
0	991796	0	0
