intron	mm	del	ins
209979	911653	57405	99545
209912	953166	60832	101507
212348	960331	59199	100329
210844	961746	57153	101221
210586	959097	58231	96340
213339	940177	57056	97649
212228	971050	57983	101235
211135	979475	55655	100169
212698	1019255	57584	97115
211948	989088	56220	98490
212855	1027530	62640	100069
211548	966531	58661	99784
211765	1012694	58497	98226
211807	972810	59101	99934
212978	1015503	56590	98046
213426	1014012	57618	97309
222066	1028350	56953	99423
213901	1029078	57820	102234
211959	1066642	60723	97337
213272	1040020	57780	97550
213173	1039035	59465	98837
216020	1169205	65515	98175
211688	1175811	57375	98080
224194	1171939	58452	99718
212638	1142914	58030	97447
212465	1124850	58412	97533
215580	1132830	57138	97036
214492	1159927	58152	143347
217953	1198908	61476	96728
217184	1206292	61928	96691
214256	1218236	57126	100147
214060	1254341	57246	98398
214985	1297675	59673	99571
218520	1300857	57858	98999
213119	1400653	57632	98215
225334	1420476	57814	100527
220415	1483236	57532	98443
214532	1510866	57314	97806
216144	1564092	57588	99487
214262	1451369	56960	97180
215678	1427185	58808	98538
214294	1482847	58122	98041
222235	1500749	56801	102272
213847	1551482	57252	101681
218531	1547338	57135	100367
217090	1564565	56643	98678
215781	1650721	57947	98311
221521	1657127	59230	99959
220572	1727329	58016	98685
217530	1717502	63499	97774
216155	1789557	57035	97255
220458	1813090	58389	98415
217206	1874508	57939	102718
221222	1934119	59177	102436
219447	1954658	57197	104074
215799	2018495	58652	105363
217360	2022779	59771	101465
216991	2066370	59209	98467
229381	2150334	58866	98765
220700	2214664	58792	101570
218204	2284052	56574	97640
215402	2371724	64214	104677
218170	2460429	58132	102458
218232	2545443	57154	104667
219658	2627650	57602	99050
221308	2615425	57775	97298
221655	2709086	56864	98327
216775	2705427	58883	100466
221406	2754820	60670	97230
235667	2810612	57368	97124
219999	2932148	58103	97433
220843	2989835	57964	98964
218714	3152271	58290	101374
220626	3163671	58246	99865
221560	3316400	57493	97917
0	5065922	0	97984
