i	uni.del.correct	uni.del.missed	uni.del.false	uni.ins.correct	uni.ins.missed	uni.ins.false	amb.del.correct	amb.del.missed	amb.del.false	amb.ins.correct	amb.ins.missed	amb.ins.false
0	0	0	0	0	0	0	0	0	0	0	0	0
1	307090	225756	4829	220949	217658	3056	3927	8102	1741	3458	8534	2359
2	102511	77377	1942	90412	90816	1178	1518	3753	960	720	2272	325
3	44187	29435	2025	29378	31029	545	706	1025	379	737	1536	340
4	10153	11589	334	10130	11527	166	480	418	82	182	757	240
5	4633	3722	219	2391	3422	14	157	220	19	31	149	48
6	891	1168	33	623	1664	6	22	39	3	5	51	0
7	702	1775	54	628	903	9	33	50	12	25	45	1
8	428	509	234	66	139	4	10	21	1	3	20	0
9	21	162	1	16	28	0	12	13	1	1	0	0
10	10	18	1	0	0	0	0	0	0	0	0	0
11	16	28	19	0	0	0	0	2	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0
14	0	14	0	0	0	0	0	2	0	0	0	0
15	0	150	0	0	0	0	0	8	0	0	0	0
16	4	233	0	0	0	0	4	6	0	0	0	0
17	1	23	0	0	0	0	1	0	0	0	0	0
18	0	0	0	0	0	0	0	1	0	0	0	0
