i	uni.del.correct	uni.del.missed	uni.del.false	uni.ins.correct	uni.ins.missed	uni.ins.false	amb.del.correct	amb.del.missed	amb.del.false	amb.ins.correct	amb.ins.missed	amb.ins.false
0	0	0	0	0	0	0	0	0	0	0	0	0
1	1859420	839362	54508	1171561	1662596	43129	1321	6241	606	266	13572	456
2	702988	319699	27160	409114	597482	11540	144	2637	306	435	4904	95
3	269586	131403	14709	151473	229682	4787	178	798	69	36	1795	79
4	93478	43491	4074	52080	91398	1752	114	617	152	69	512	43
5	33175	17202	3149	34782	57817	888	0	38	4	0	148	12
6	9126	2906	2791	3892	9387	820	4	18	1	28	163	2
7	4387	1666	411	1819	3929	180	0	6	2	0	0	0
8	1178	334	294	400	880	87	0	0	2	0	26	1
9	181	199	1713	172	336	61	0	0	0	0	0	0
10	24	100	0	0	0	21	0	1	0	0	0	0
11	0	27	5	0	5	0	0	0	0	0	0	0
12	54	24	1	0	0	0	0	0	0	0	0	0
13	0	2	0	0	0	0	0	0	0	0	0	0
14	100	23	4	0	39	0	0	0	0	0	0	0
15	0	0	47	0	0	0	0	0	0	0	0	0
16	12	7	2	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	58	0	0	0	0	0	0	0	0	0
