i	uni.del.correct	uni.del.missed	uni.del.false	uni.ins.correct	uni.ins.missed	uni.ins.false	amb.del.correct	amb.del.missed	amb.del.false	amb.ins.correct	amb.ins.missed	amb.ins.false
0	0	0	0	0	0	0	0	0	0	0	0	0
1	424968	118431	88962	344617	104781	116182	222	1254	3252	301	900	4536
2	124670	59480	6622	131588	52031	18219	212	797	95	44	557	192
3	46654	28480	5813	37887	24556	8876	18	201	4	22	215	5
4	10672	11797	752	11308	11125	4804	1	170	0	0	163	0
5	3903	4791	213	2224	3605	1259	0	38	0	0	164	0
6	714	1401	197	526	1733	1405	0	5	0	0	84	0
7	546	2009	65	470	1070	480	0	5	0	0	61	0
8	368	592	9	11	145	567	0	8	0	0	72	0
9	5	187	5	10	30	687	0	16	0	0	5	0
10	11	17	0	0	0	730	0	0	0	0	0	0
11	13	33	12	0	0	884	0	0	0	0	0	0
12	0	0	0	0	0	255	0	0	0	0	0	0
13	0	0	0	0	0	403	0	0	0	0	0	0
14	1	14	0	0	0	197	0	1	0	0	0	0
15	0	158	0	0	0	694	0	0	0	0	0	0
16	9	235	26	0	0	623	0	3	0	0	0	0
17	0	25	0	0	0	319	0	0	0	0	0	0
18	0	1	58	0	0	512	0	0	0	0	0	0
19	0	0	0	0	0	222	0	0	0	0	0	0
20	0	0	0	0	0	201	0	0	0	0	0	0
21	0	0	0	0	0	580	0	0	0	0	0	0
22	0	0	0	0	0	123	0	0	0	0	0	0
23	0	0	0	0	0	154	0	0	0	0	0	0
24	0	0	0	0	0	42	0	0	0	0	0	0
25	0	0	0	0	0	22	0	0	0	0	0	0
26	0	0	0	0	0	22	0	0	0	0	0	0
27	0	0	0	0	0	28	0	0	0	0	0	0
28	0	0	0	0	0	12	0	0	0	0	0	0
29	0	0	0	0	0	11	0	0	0	0	0	0
30	0	0	0	0	0	9	0	0	0	0	0	0
31	0	0	0	0	0	11	0	0	0	0	0	0
32	0	0	0	0	0	1	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	1	0	0	0	0	0	0
35	0	0	0	0	0	1	0	0	0	0	0	0
