i	uni.del.correct	uni.del.missed	uni.del.false	uni.ins.correct	uni.ins.missed	uni.ins.false	amb.del.correct	amb.del.missed	amb.del.false	amb.ins.correct	amb.ins.missed	amb.ins.false
0	0	0	0	0	0	0	0	0	0	0	0	0
1	461263	68381	33485	375508	61430	31106	9860	5371	5358	8365	5296	6538
2	152127	27345	18643	158768	22478	19768	3060	2627	3089	1788	1186	1816
3	63523	9868	24495	51104	7965	23492	1179	783	1946	2660	951	2031
4	17328	4595	18847	11813	9592	1209	538	179	735	356	835	470
5	6997	1491	20947	3196	2663	137	158	86	819	52	82	80
6	1616	504	14157	1163	1180	650	0	0	771	0	0	41
7	1756	778	586	876	725	110	7	19	25	0	0	30
8	789	177	200	121	96	49	1	1	20	0	11	63
9	138	70	158	28	17	99	0	0	5	0	0	55
10	19	8	20	0	0	0	0	1	4	0	0	0
11	28	18	115	0	0	2	0	0	10	0	0	0
12	0	0	20	0	0	57	0	0	5	0	0	1
13	0	0	83	0	0	56	0	0	4	0	0	0
14	8	8	36	0	0	4	0	0	12	0	0	0
15	50	108	5	0	0	2	0	0	6	0	0	0
16	142	101	20	0	0	2	1	3	9	0	0	0
17	16	9	19	0	0	0	0	0	2	0	0	0
18	1	0	143	0	0	3	0	0	5	0	0	4
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	6	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	1
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	198	0	0	0	0	0	21
28	0	0	0	0	0	53	0	0	0	0	0	2
29	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0	0
36	0	0	0	0	0	1	0	0	0	0	0	0
