i	uni.del.correct	uni.del.missed	uni.del.false	uni.ins.correct	uni.ins.missed	uni.ins.false	amb.del.correct	amb.del.missed	amb.del.false	amb.ins.correct	amb.ins.missed	amb.ins.false
0	0	0	0	0	0	0	0	0	0	0	0	0
1	377995	156823	24562	312144	127877	37742	5809	4248	4012	5442	5136	5402
2	123706	56039	4053	131103	49737	14205	3356	2058	1808	2496	884	1132
3	49889	24023	3343	42179	18324	11814	894	547	604	1462	715	1389
4	12734	9537	682	14597	7178	7768	174	195	204	288	533	806
5	5664	2988	592	3786	2126	5960	37	43	58	47	34	254
6	921	1199	148	1287	1054	5599	0	0	28	2	0	167
7	1378	1178	195	1120	480	3939	0	4	11	0	1	176
8	429	532	20	99	126	3505	4	3	0	3	0	112
9	60	147	21	41	4	4253	1	0	0	0	0	132
10	20	8	14	0	0	2255	0	0	6	0	0	159
11	28	18	39	0	0	1432	0	0	1	0	0	62
12	0	0	2	0	0	864	0	0	2	0	0	42
13	0	0	0	0	0	158	0	0	0	0	0	2
14	0	16	0	0	0	0	0	0	0	0	0	0
15	0	156	0	0	0	0	0	2	0	0	0	0
16	0	246	0	0	0	0	0	1	0	0	0	0
17	0	25	0	0	0	0	0	0	0	0	0	0
18	0	1	0	0	0	0	0	0	0	0	0	0
