	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	6	3	6	2	3	6	5	4	3	6	7	11	5	8	9	4	9	8	0	5547
2	0	2	3	4	1	2	1	9	6	1	9	7	3	3	6	11	4	8	12	6	5625
3	0	5	6	5	4	6	6	1	4	1	15	5	6	8	4	12	5	13	10	5	7563
4	0	4	5	3	4	3	5	6	6	2	4	5	1	8	5	9	5	8	7	5	5659
5	0	1	3	9	8	7	3	3	6	6	6	2	3	9	9	3	3	6	5	4	5748
6	0	5	4	6	3	11	3	5	6	2	11	4	3	6	10	5	5	13	11	2	5749
7	0	2	1	4	7	0	5	5	5	2	0	9	9	3	3	2	7	6	7	9	5899
8	0	2	6	8	3	5	4	0	11	6	7	2	2	2	6	6	5	10	6	7	5684
9	0	4	6	6	5	2	1	1	3	3	8	4	5	7	5	8	3	8	3	5	6019
10	0	1	4	4	2	2	5	5	7	2	7	1	4	0	9	2	4	6	7	3	5280
11	0	4	4	1	3	2	3	4	4	2	7	4	1	3	5	4	1	9	8	2	4542
12	0	0	6	5	4	2	3	3	6	2	4	4	6	2	6	4	3	7	6	3	4081
13	0	0	0	4	4	2	4	7	3	3	4	2	0	5	3	1	4	3	5	4	3528
14	0	0	1	1	1	1	4	2	1	4	2	1	2	2	3	8	4	3	3	4	3480
15	0	0	2	2	3	0	3	3	0	3	4	5	2	2	2	5	1	7	3	1	3375
16	0	0	0	3	3	4	1	2	3	2	2	1	5	4	9	3	2	5	4	1	3360
17	0	4	0	0	4	5	5	3	3	2	1	2	3	3	5	3	1	8	4	0	3238
18	0	1	5	7	0	2	3	0	0	1	6	6	5	5	2	4	1	4	3	1	3126
19	0	4	2	2	2	3	0	1	4	3	4	3	3	1	2	2	1	7	7	4	3021
20	0	1	2	4	2	1	3	2	5	3	1	3	1	3	1	0	2	7	1	2	3042
21	0	0	1	3	3	1	1	0	1	3	2	2	5	0	5	2	2	5	1	1	3055
22	0	3	1	0	0	6	3	2	2	3	6	3	1	4	3	1	5	3	3	4	3162
23	0	3	1	2	1	0	2	0	3	1	2	4	1	1	4	3	1	4	3	4	3043
24	0	3	2	1	3	1	3	1	6	1	2	3	4	0	4	1	1	2	7	2	3056
25	0	1	2	5	3	2	0	2	0	1	2	2	2	3	3	2	0	7	3	2	3020
26	0	1	1	3	2	4	3	1	4	1	3	1	2	1	2	1	1	2	5	7	3080
27	0	1	0	4	0	1	2	2	2	2	3	2	5	2	5	3	3	5	8	2	3019
28	0	5	1	4	1	3	4	0	4	3	4	4	2	1	3	4	2	5	1	5	3234
29	0	1	1	4	3	5	3	2	2	2	4	9	1	2	2	4	2	5	2	2	3719
30	0	4	3	1	0	1	3	2	3	2	4	3	2	4	6	10	3	2	6	3	3418
31	0	2	3	1	2	4	7	3	1	1	3	5	2	1	1	1	2	3	4	5	3488
32	0	1	1	5	2	4	4	0	4	8	6	6	3	1	2	3	6	6	5	1	3886
33	0	5	4	8	1	2	2	5	4	1	5	4	3	3	5	2	5	4	4	5	3833
34	0	4	1	2	4	5	7	3	5	1	2	8	5	1	6	3	3	4	2	1	3661
35	0	2	1	3	2	3	3	0	3	3	9	5	1	5	1	4	1	5	4	3	3456
36	0	5	2	2	3	4	1	5	0	1	2	4	1	2	2	4	3	3	6	6	3611
37	0	2	3	1	2	3	1	1	5	2	6	4	1	2	4	2	2	2	11	2	3899
38	0	2	1	1	1	2	0	3	5	1	4	6	3	2	2	4	10	5	13	3	3561
39	0	4	1	0	4	4	8	3	1	3	2	1	5	3	8	5	3	6	6	5	3616
40	0	2	2	2	3	2	0	6	5	2	5	4	4	0	8	2	2	9	4	3	3673
41	0	1	3	4	2	6	6	4	4	2	3	2	0	4	4	2	6	2	3	4	3708
42	0	1	4	1	4	0	3	3	8	1	2	3	1	0	8	4	4	9	10	1	3875
43	0	1	3	1	3	3	3	3	3	4	6	4	4	3	2	2	6	4	3	3	4058
44	0	0	1	2	2	9	0	0	4	2	3	4	4	3	5	2	4	7	6	0	3905
45	0	2	2	1	3	1	3	3	2	3	4	1	3	4	6	0	1	2	5	6	3690
46	0	0	5	5	1	1	1	1	2	2	1	1	0	0	6	2	2	5	6	6	4152
47	0	2	4	2	0	3	1	2	2	3	4	4	1	2	2	4	4	4	8	1	3349
48	0	1	3	0	2	4	3	1	2	4	2	1	1	2	5	3	1	6	3	1	4013
49	0	1	1	6	1	3	3	1	5	3	2	3	1	4	4	1	3	11	5	3	3580
50	0	3	4	5	9	2	2	2	4	4	5	7	5	1	3	3	2	4	6	3	3312
51	0	1	3	4	3	3	3	0	5	2	3	3	1	1	4	3	1	5	4	3	3522
52	0	2	1	2	2	2	1	3	4	3	5	2	4	3	3	3	4	7	8	2	3460
53	0	1	2	1	4	2	6	1	3	2	4	3	6	6	2	2	1	7	1	5	3461
54	0	0	3	3	0	3	2	2	2	0	3	3	3	6	1	3	5	4	6	6	3680
55	0	2	1	1	1	3	4	2	5	2	3	6	4	2	6	4	3	6	2	2	3811
56	0	3	2	2	2	3	3	1	2	3	3	11	1	1	3	4	3	2	2	2	3764
57	0	0	3	2	1	3	6	2	0	2	6	4	4	3	3	3	3	4	4	1	3680
58	0	4	2	3	2	7	1	0	2	6	2	3	1	1	5	6	3	3	5	5	3693
59	0	1	3	3	2	3	2	1	2	6	4	6	3	1	5	3	7	3	10	2	3835
60	0	3	2	6	1	7	4	2	4	11	4	2	2	4	3	3	3	6	4	2	3799
61	0	1	5	2	8	6	2	3	4	7	3	0	3	2	4	5	3	1	2	1	4184
62	0	1	2	2	1	0	4	3	2	2	5	2	6	2	0	2	1	8	11	5	4190
63	0	5	4	4	3	1	2	2	7	7	6	5	3	4	4	5	2	2	5	3	4412
64	0	2	3	5	1	5	5	4	0	1	6	5	4	3	4	4	4	2	4	3	4644
65	0	1	2	2	2	3	0	3	3	2	3	3	2	3	3	4	2	9	8	4	5012
66	0	1	5	3	5	2	4	6	10	6	6	3	5	2	3	6	7	4	4	10	5516
67	0	3	7	4	5	4	7	4	3	3	2	3	5	5	6	4	4	5	15	4	5599
68	0	1	4	4	5	4	5	3	3	8	9	5	6	4	2	5	2	7	7	10	5832
69	0	2	7	6	2	3	5	4	0	5	8	2	7	4	6	4	2	19	9	8	5726
70	0	2	5	3	6	5	2	4	3	1	3	5	8	5	6	4	5	8	22	6	5538
71	0	3	6	5	4	6	3	5	10	11	5	5	8	4	6	5	7	5	7	3	5628
72	0	2	7	3	3	6	3	4	4	2	10	6	4	5	7	6	5	12	9	16	5693
73	0	3	0	4	1	6	7	7	3	6	4	11	9	7	11	2	1	11	11	6	5685
74	0	3	3	4	4	3	2	3	7	9	7	4	3	6	7	4	3	11	5	5	5509
75	0	2	3	3	2	4	5	3	5	2	9	5	5	7	4	8	3	14	7	5	5521
