	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	118
2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	105
3	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	131
4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	143
5	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	138
6	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	157
7	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	2	157
8	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	197
9	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	1	215
10	0	0	0	1	0	0	0	0	1	1	0	0	0	2	0	1	1	0	0	1	296
11	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	1	266
12	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	263
13	0	0	0	0	0	0	1	1	0	2	0	0	0	1	1	0	0	1	0	0	281
14	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	2	0	0	338
15	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	1	0	1	1	331
16	0	0	0	0	1	0	0	7	1	1	0	0	0	0	0	1	1	1	0	1	383
17	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	386
18	0	0	0	0	0	1	0	2	0	0	1	0	2	0	0	0	1	1	0	1	379
19	0	0	0	1	0	1	1	0	1	1	1	0	2	0	0	0	1	1	0	0	419
20	0	1	4	3	5	5	5	3	4	4	7	4	5	7	3	2	2	3	5	3	1987
21	0	1	6	1	2	5	7	2	5	10	11	4	6	5	3	2	3	6	3	7	2773
22	0	4	1	7	5	2	4	8	12	7	4	3	9	6	1	10	8	10	5	8	3561
23	0	5	4	4	5	6	6	9	8	5	9	10	5	6	3	6	6	6	2	6	3786
24	0	5	2	3	5	5	7	7	4	7	13	11	4	30	8	7	11	5	8	11	4212
25	0	4	1	6	5	7	8	6	8	8	4	9	6	12	6	3	13	6	14	21	4194
26	0	1	4	8	4	4	3	11	6	8	7	5	7	10	8	11	14	7	5	9	4205
27	0	4	5	6	7	7	8	7	4	10	10	8	3	4	8	8	4	10	8	7	4208
28	0	1	3	7	4	12	9	10	5	10	8	10	8	5	10	6	9	6	11	7	4134
29	0	3	5	4	4	7	5	10	13	11	11	9	13	5	9	11	11	3	10	5	4222
30	0	3	6	0	4	10	9	9	14	11	4	6	7	11	7	7	7	16	7	11	4441
31	0	2	3	6	3	9	7	4	6	5	6	3	10	8	8	5	23	13	8	4	4386
32	0	1	3	6	3	5	10	6	10	9	3	3	11	11	3	12	11	12	10	15	4308
33	0	2	11	5	3	6	6	5	10	14	4	8	4	5	12	4	6	14	11	8	4534
34	0	3	0	3	8	10	8	7	7	12	4	7	9	7	8	8	15	10	8	4	4194
35	0	1	6	4	7	6	8	6	7	7	14	7	6	11	2	8	9	12	6	6	4042
36	0	2	1	0	4	3	3	10	5	5	6	7	4	5	4	12	10	3	3	9	3556
37	0	4	3	4	6	5	5	3	7	0	0	3	5	3	0	5	7	6	5	6	2725
38	0	2	1	3	1	2	0	1	3	4	3	2	6	4	2	2	3	3	1	6	1903
39	0	0	0	2	1	0	2	1	1	2	1	1	1	1	1	3	2	1	0	2	1107
40	0	0	0	0	2	2	0	0	0	2	0	1	2	2	0	0	1	0	0	2	661
41	0	0	0	0	0	3	2	1	0	0	0	0	4	0	2	2	1	2	1	3	410
42	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	1	1	1	374
43	0	0	0	2	0	0	0	2	0	0	4	0	1	1	0	0	0	0	0	2	301
44	0	0	0	2	0	0	0	1	0	0	2	1	3	0	0	0	2	0	0	0	287
45	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	1	1	0	0	259
46	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	255
47	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	238
48	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	197
49	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	186
50	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	127
51	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	166
52	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	0	1	1	0	129
53	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	146
54	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	124
55	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	156
56	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	127
