	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	6	4	8	3	5	6	11	5	7	11	9	13	5	9	8	5	11	6	3	7123
2	0	4	4	3	3	6	3	9	5	3	10	3	5	1	5	13	1	9	11	5	7299
3	0	6	5	6	6	5	7	3	5	3	17	8	8	11	4	10	6	12	11	8	9521
4	0	3	3	2	3	5	6	7	6	6	4	5	6	10	8	10	4	9	7	8	7708
5	0	1	5	8	9	6	5	3	11	11	8	2	6	9	13	11	2	10	6	4	7693
6	0	6	4	7	5	11	4	7	7	7	12	10	4	10	10	25	5	19	11	7	8335
7	0	4	1	5	11	1	4	6	3	3	2	11	8	4	5	2	5	6	13	8	8239
8	0	4	4	8	4	6	7	2	10	6	3	5	3	4	8	6	5	9	7	6	7946
9	0	4	5	8	5	3	2	7	2	6	3	5	3	4	6	4	3	7	3	5	6012
10	0	1	5	2	4	2	4	2	8	3	3	9	1	2	8	5	4	2	7	2	4454
11	0	2	6	3	1	3	3	1	3	3	5	5	1	1	2	6	3	8	11	1	4034
12	0	2	5	5	1	1	3	3	12	1	6	3	6	2	7	4	3	5	6	3	3733
13	0	1	1	5	2	3	4	9	5	2	2	5	0	1	6	1	2	6	3	0	3409
14	0	0	1	2	1	3	3	2	2	2	2	1	0	3	2	6	1	4	3	0	3258
15	0	1	6	1	3	0	1	7	1	3	7	6	4	5	3	4	3	11	2	5	3124
16	0	1	2	2	2	3	4	5	2	5	4	4	3	4	5	5	1	2	3	2	3050
17	0	0	1	1	7	5	4	4	1	3	2	1	2	2	6	4	1	5	4	2	3003
18	0	0	5	4	1	2	3	2	1	3	3	5	4	6	3	5	3	5	4	1	2920
19	0	3	1	1	0	1	0	2	2	3	2	4	6	5	1	2	2	7	2	1	2824
20	0	1	2	4	1	0	1	3	2	2	2	1	2	3	4	3	1	8	3	2	2846
21	0	1	1	3	2	4	2	1	0	2	2	0	3	0	2	3	2	4	3	1	2881
22	0	4	1	2	1	3	0	1	1	3	5	4	1	2	5	1	7	4	2	4	2852
23	0	1	4	5	4	2	2	1	3	2	2	12	2	1	1	1	0	3	2	5	2843
24	0	2	1	0	2	2	2	1	3	2	2	6	4	1	4	3	1	5	5	2	2772
25	0	1	1	6	3	2	0	3	0	0	3	1	2	2	6	1	0	6	3	2	2782
26	0	3	0	1	2	4	3	0	1	2	3	1	3	1	3	3	2	1	6	3	2698
27	0	1	3	2	0	1	1	2	3	2	1	1	3	1	3	5	1	6	6	5	2848
28	0	5	3	4	1	2	5	1	5	2	4	3	4	2	0	4	1	2	2	3	2800
29	0	3	1	3	0	4	4	2	3	3	4	3	2	2	3	2	1	5	3	1	3731
