	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	5	7	14	12	12	16	19	16	15	10	24	22	15	15	11	22	7	21	17	8400
2	0	3	4	3	12	14	11	15	5	7	14	15	20	10	17	9	13	15	17	8	6491
3	0	3	8	10	6	9	6	11	7	6	12	5	10	8	12	11	8	7	14	9	4397
4	0	1	7	7	5	4	7	7	2	13	10	4	6	7	7	10	5	11	10	7	3203
5	0	1	1	3	2	2	4	6	3	2	8	6	5	2	1	4	6	6	6	6	2478
6	0	3	2	0	2	3	6	7	4	10	1	1	12	4	6	4	2	4	4	4	2314
7	0	1	3	0	4	3	2	1	3	2	2	1	6	4	2	6	6	8	6	5	2255
8	0	0	2	1	3	4	5	6	1	3	4	10	4	4	1	2	3	3	4	5	2072
9	0	0	2	1	4	6	1	2	3	3	1	3	5	1	5	2	5	3	6	3	2123
10	0	1	1	2	5	1	2	4	1	1	4	1	2	3	2	3	3	5	2	6	2124
11	0	2	1	3	4	3	2	5	4	2	3	3	2	5	4	6	8	0	6	3	1911
12	0	2	1	3	5	2	3	4	2	1	0	3	2	0	1	2	4	1	2	4	2030
13	0	2	3	1	2	1	2	0	3	8	5	1	2	4	1	2	0	8	5	3	2054
14	0	1	5	1	9	1	1	3	2	5	1	9	3	5	2	4	2	5	1	4	2037
15	0	0	2	2	4	2	4	3	2	4	3	3	3	3	4	2	2	3	1	2	2028
16	0	1	3	1	1	2	4	3	1	2	2	2	4	3	0	3	3	1	4	8	1952
17	0	0	2	1	0	4	1	0	1	0	3	1	2	5	1	1	0	1	4	9	1981
18	0	0	0	2	2	2	5	2	0	2	3	5	2	2	4	4	0	2	4	3	1957
19	0	1	2	4	1	4	0	2	2	3	0	3	5	3	3	2	3	1	2	2	1842
20	0	2	2	1	5	0	4	2	2	2	1	2	0	5	3	3	4	2	6	3	1846
21	0	0	1	4	2	3	4	1	3	3	2	2	4	3	5	1	2	1	2	3	1713
22	0	0	0	1	1	1	1	2	1	1	1	2	5	4	3	3	0	1	1	2	1794
23	0	2	0	1	1	4	0	5	2	2	0	2	4	2	2	0	3	5	2	3	1753
24	0	2	1	1	1	3	1	1	0	1	4	1	4	2	3	1	2	2	1	1	1622
25	0	2	1	0	2	3	0	3	2	2	2	2	1	3	1	2	0	1	3	5	2093
26	0	2	2	2	1	6	3	7	1	1	0	5	1	3	2	5	1	1	4	4	1859
27	0	3	5	5	0	0	1	4	1	5	3	4	8	3	1	3	2	1	1	3	1784
