	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	52	97	113	132	167	172	195	244	222	218	237	259	267	259	304	297	281	277	286	200155
2	0	67	105	133	135	165	176	193	219	224	205	235	267	279	280	256	289	299	280	312	199980
3	0	79	109	109	153	159	202	193	216	219	231	269	229	276	263	283	273	317	299	314	200381
4	0	75	95	121	167	160	174	191	225	243	224	244	230	278	254	308	262	294	324	288	200837
5	0	75	98	135	131	161	181	194	231	225	228	275	256	269	276	309	286	305	271	280	200459
6	0	70	88	124	163	172	159	201	205	227	258	235	265	258	324	279	320	310	310	269	202990
7	0	86	117	117	155	177	181	193	226	214	257	247	284	282	236	272	273	326	321	281	201327
8	0	65	97	124	141	207	173	201	217	235	247	237	239	293	279	294	262	290	305	289	197770
9	0	76	111	145	139	174	184	212	217	214	211	216	242	272	247	263	239	317	295	290	189260
10	0	50	103	91	130	115	121	179	153	189	202	200	225	200	247	239	225	261	256	255	160460
11	0	47	80	76	99	93	153	132	133	141	174	165	181	154	181	166	173	211	201	188	125939
12	0	36	48	50	74	76	82	114	91	107	103	135	112	153	109	138	115	145	157	142	96772
13	0	29	34	38	65	70	61	90	90	96	94	87	110	102	106	116	103	127	128	114	78902
14	0	18	32	45	56	69	63	83	72	57	89	73	80	96	97	100	111	90	103	101	70437
15	0	22	35	50	54	56	60	73	77	76	76	74	93	78	72	102	85	110	98	137	65349
16	0	22	30	33	39	64	50	60	61	70	70	71	82	92	79	85	70	79	74	88	59622
17	0	23	33	35	29	38	48	70	49	64	70	70	58	55	69	89	85	81	74	68	58987
18	0	28	31	34	51	61	59	48	57	78	81	73	68	89	61	99	87	76	95	90	56406
19	0	12	21	30	30	52	38	56	63	69	54	55	78	67	62	84	70	72	83	74	55445
20	0	29	22	27	30	45	48	55	63	51	66	66	60	75	76	64	79	76	81	78	53924
21	0	18	35	28	28	35	68	50	56	65	60	64	80	69	65	80	77	82	60	82	52179
22	0	17	26	28	34	36	47	44	51	54	66	49	60	58	62	59	57	73	84	63	51831
23	0	19	38	29	44	33	49	54	36	62	59	69	51	63	61	83	72	76	68	77	49499
24	0	18	26	46	46	44	42	59	49	66	62	52	68	50	59	41	78	59	72	68	50572
25	0	15	22	24	37	35	43	48	48	55	45	53	60	51	75	66	64	67	72	57	46788
26	0	11	25	37	30	49	40	36	56	39	56	43	54	59	53	68	58	62	74	63	44889
27	0	13	21	29	35	37	42	38	39	47	52	55	54	55	50	72	66	71	72	63	44253
28	0	15	19	24	28	31	33	52	42	50	62	59	49	56	54	63	64	60	57	68	42399
29	0	16	24	32	40	39	31	42	36	48	51	62	52	60	46	49	53	63	47	65	43111
30	0	14	13	26	24	35	31	32	45	43	45	49	48	45	49	64	46	53	67	68	41432
31	0	15	23	22	28	38	34	34	38	40	38	49	60	54	56	51	57	59	61	44	39256
32	0	15	20	16	41	32	39	32	41	47	43	48	52	61	51	63	53	56	54	55	39022
33	0	9	18	25	24	31	53	30	53	47	48	46	53	51	35	57	56	57	62	52	39402
34	0	15	18	17	24	19	35	51	32	43	54	36	52	58	59	54	36	63	58	55	40205
35	0	22	14	22	29	36	32	40	38	51	60	40	51	46	53	56	58	54	50	59	40349
36	0	18	19	23	38	42	39	37	43	51	37	43	46	61	49	51	63	55	53	64	41470
37	0	14	25	28	39	31	33	40	43	59	37	46	47	45	62	50	70	57	89	56	41246
38	0	16	16	22	33	34	25	44	50	42	48	43	49	61	50	53	62	55	62	57	39344
39	0	24	28	27	24	29	34	35	45	35	52	52	57	69	47	56	69	64	63	55	41073
40	0	12	23	32	44	34	54	37	37	47	41	39	50	59	71	60	56	71	67	66	42761
41	0	13	20	31	31	52	41	42	48	54	45	54	55	53	46	60	71	54	64	75	45052
42	0	20	23	29	34	43	46	40	48	60	68	60	55	51	57	63	79	76	62	76	45609
43	0	21	31	31	28	21	32	40	63	52	45	44	61	51	48	46	95	85	69	73	49640
44	0	24	26	21	42	49	46	63	48	45	59	49	69	69	72	58	74	74	73	59	47656
45	0	21	23	36	35	39	45	51	55	55	68	59	80	63	54	91	64	72	69	58	51101
46	0	17	26	29	37	37	50	39	65	48	62	49	76	53	73	69	79	60	96	71	52186
47	0	16	23	35	41	46	59	65	63	55	63	65	58	80	75	64	111	80	86	98	54785
48	0	21	31	37	42	50	55	73	73	70	71	60	67	77	89	85	85	83	88	94	59343
49	0	21	33	49	55	50	50	64	61	48	66	85	70	74	83	73	70	94	87	79	62383
50	0	27	36	51	35	57	56	52	76	77	77	75	75	87	107	91	98	89	92	105	66942
51	0	25	33	39	39	45	59	82	74	96	88	79	95	84	79	104	94	82	100	117	69069
52	0	28	40	44	65	40	70	66	70	69	83	75	102	73	101	109	121	106	134	101	74787
53	0	28	32	41	52	59	56	62	74	89	95	104	96	99	109	111	114	153	94	109	76067
54	0	19	39	47	47	60	80	82	97	86	94	91	82	111	105	99	117	109	127	112	80699
55	0	36	42	43	61	63	86	82	102	97	102	107	110	115	102	112	136	114	121	115	83609
56	0	24	41	64	64	78	72	82	105	93	97	90	109	153	131	117	112	148	132	126	84972
57	0	32	44	53	67	75	57	86	78	116	101	89	118	123	94	135	128	149	140	134	89589
58	0	24	58	66	68	74	82	94	78	124	101	116	115	137	111	118	151	144	144	134	92270
59	0	46	42	60	76	79	81	76	106	101	123	125	148	138	150	133	128	162	133	136	100415
60	0	38	53	72	71	90	92	101	102	106	110	135	157	113	139	149	141	147	134	137	100200
61	0	26	54	60	86	81	95	121	100	115	117	141	123	137	146	140	145	154	154	145	103400
62	0	48	52	60	84	71	102	107	114	105	142	135	147	113	158	161	178	161	148	160	108222
