	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	89	93	119	117	144	141	192	160	193	172	204	164	198	212	205	235	187	212	210	132759
2	0	85	72	92	94	99	91	108	102	108	123	121	126	139	137	144	101	140	126	137	80931
3	0	87	53	60	56	60	49	49	62	60	52	58	75	52	64	56	97	51	63	67	39737
4	0	81	52	49	38	28	22	48	41	33	39	45	32	37	39	41	52	48	32	67	21574
5	0	75	47	31	31	18	26	31	32	25	23	19	15	44	40	32	31	23	24	42	15245
6	0	94	49	36	23	28	39	41	39	31	47	62	39	31	34	16	57	30	45	24	13808
7	0	94	49	47	16	23	30	20	15	32	22	43	37	29	15	27	35	13	19	43	12965
8	0	88	58	35	21	16	22	22	24	43	33	45	23	22	28	12	29	12	26	41	12423
9	0	97	41	52	22	22	37	38	25	19	46	26	46	26	34	47	54	16	31	44	13119
10	0	87	30	32	18	16	26	19	30	16	38	12	11	31	21	17	52	13	51	26	11684
11	0	86	44	27	26	15	12	16	36	14	19	19	25	25	15	55	22	31	15	22	11240
12	0	84	42	25	16	21	24	30	10	19	38	30	15	36	9	13	61	8	33	69	11518
13	0	18	18	9	14	11	12	19	14	17	23	13	11	17	17	21	27	13	24	28	11080
14	0	9	8	8	19	12	17	17	10	14	13	18	16	17	17	16	16	33	17	14	10943
15	0	12	16	8	11	11	13	19	15	19	12	17	21	17	18	14	25	13	16	23	11099
16	0	18	11	14	18	20	16	19	17	22	16	12	7	13	17	22	16	23	12	22	10627
17	0	9	7	13	12	8	11	8	18	21	26	10	12	24	20	8	14	16	14	20	10645
18	0	10	13	13	10	19	15	14	14	18	9	15	13	31	21	20	13	9	14	15	11110
19	0	16	7	11	18	7	11	13	13	16	19	13	7	26	17	18	30	19	15	19	10515
20	0	12	6	11	15	9	10	12	11	13	21	26	11	17	13	10	11	11	20	16	10435
21	0	15	13	12	15	19	14	11	15	14	11	17	10	22	13	15	14	15	18	17	10973
22	0	6	9	10	10	16	18	18	17	25	23	18	19	17	14	15	16	18	19	10	10848
23	0	13	10	8	13	10	19	24	24	12	21	19	12	16	21	22	18	18	21	21	11539
24	0	19	6	7	12	16	18	17	17	23	16	22	15	40	16	15	22	11	17	21	11828
25	0	12	9	15	12	21	22	16	20	19	14	17	20	25	13	18	16	15	24	50	11486
26	0	14	18	15	18	15	19	12	13	15	22	23	22	24	26	41	37	21	23	25	13278
27	0	13	7	17	15	18	11	17	9	27	27	17	15	26	15	13	18	14	26	23	12972
28	0	12	14	16	10	9	20	19	12	17	18	18	20	32	16	16	19	11	24	16	11653
29	0	20	12	7	20	11	11	14	22	21	15	18	9	14	50	15	18	16	23	12	11405
30	0	13	7	10	21	11	12	17	17	17	19	25	16	25	12	21	17	16	25	21	11278
31	0	16	12	13	18	13	15	13	13	17	18	15	18	27	16	5	20	18	10	17	11032
32	0	8	15	12	17	15	18	11	15	18	21	16	17	16	13	18	22	14	14	17	10690
33	0	13	10	23	8	12	13	17	16	24	15	34	8	12	19	12	14	17	7	15	11102
34	0	8	14	12	18	12	18	14	11	13	18	14	13	24	15	24	22	10	14	14	11091
35	0	13	9	17	18	12	20	8	12	13	10	10	25	11	10	21	23	19	23	17	10916
36	0	12	11	14	11	15	17	28	13	17	17	12	12	15	12	10	17	30	19	16	11203
37	0	11	8	12	17	16	16	16	12	12	13	17	17	16	20	14	14	24	22	21	10583
38	0	12	14	8	12	10	13	27	11	16	22	16	25	17	15	16	17	19	18	16	10824
39	0	12	12	17	14	19	15	15	15	12	28	12	15	10	17	22	13	13	21	20	11075
40	0	14	13	16	10	7	17	16	8	17	14	14	16	18	17	13	28	12	20	19	10728
41	0	14	17	13	8	13	16	25	17	19	18	21	17	18	17	16	18	11	22	23	10912
42	0	20	11	17	11	13	15	11	16	23	16	20	16	15	27	22	18	16	19	22	11045
43	0	25	15	21	14	5	8	16	23	16	26	13	14	14	27	16	22	14	13	19	10831
44	0	14	9	14	17	13	17	17	12	17	21	25	13	16	22	16	19	11	19	13	11139
45	0	8	15	13	14	11	18	24	18	22	26	14	22	19	13	20	20	16	9	13	11217
46	0	15	12	16	15	19	17	20	19	16	24	27	21	19	19	19	24	16	19	22	12471
47	0	16	11	12	18	17	16	27	17	17	24	22	19	28	25	19	30	36	19	26	15418
48	0	14	26	17	28	12	16	31	22	24	26	21	23	37	26	30	31	25	26	37	18031
49	0	7	17	17	10	23	30	24	34	30	28	30	20	31	22	24	24	30	27	33	19569
50	0	11	10	24	14	23	17	28	32	25	24	36	22	24	33	23	27	24	26	37	18648
51	0	18	14	22	26	23	40	32	23	21	25	35	18	38	37	29	40	25	41	47	19102
52	0	23	26	25	33	19	30	15	18	27	25	26	33	27	30	20	40	21	31	29	18417
53	0	18	24	22	25	26	21	34	25	28	29	31	16	32	26	31	32	15	17	26	18003
54	0	20	20	26	29	22	29	22	20	26	19	30	24	35	29	38	31	25	27	20	17946
55	0	23	11	23	13	15	17	18	33	31	21	27	26	26	41	30	46	21	28	29	17672
56	0	15	15	20	24	19	21	23	23	24	26	36	27	29	20	40	30	18	25	31	17603
57	0	25	20	15	25	14	20	24	23	27	28	26	29	22	28	23	17	23	24	25	17482
58	0	12	14	14	21	20	21	29	27	22	27	23	20	26	24	37	25	30	37	30	17773
59	0	27	22	21	21	22	14	22	26	29	28	19	26	21	32	28	25	38	20	31	17887
60	0	15	16	16	28	20	26	28	22	26	17	29	28	30	35	22	31	19	17	45	18066
61	0	24	23	23	23	19	19	26	22	25	20	33	27	25	29	27	34	38	25	25	17988
62	0	22	22	19	16	28	23	20	19	27	26	35	31	37	24	22	23	39	18	27	17555
63	0	22	23	19	16	18	18	22	24	24	25	19	36	35	32	25	45	33	32	34	18334
64	0	83	40	27	31	26	22	28	17	24	30	28	21	29	31	24	27	21	25	20	18266
65	0	81	46	23	29	21	19	23	30	28	35	34	32	21	34	29	27	28	24	30	18234
66	0	73	42	30	19	27	19	31	30	30	22	24	22	22	30	19	37	27	24	29	18675
67	0	97	34	28	25	21	31	24	25	25	35	19	24	24	22	22	29	29	30	37	20119
68	0	87	51	33	24	26	27	38	33	28	25	24	12	32	26	40	34	32	22	23	20603
69	0	84	68	35	27	24	22	38	39	29	27	29	24	22	25	37	36	30	32	31	20389
70	0	86	57	42	38	32	17	34	30	32	29	36	19	31	22	32	40	32	38	32	21784
71	0	86	62	37	29	25	26	25	24	29	46	30	41	35	34	32	36	30	24	34	22842
72	0	83	52	51	32	37	33	43	48	33	40	40	32	41	46	31	34	34	56	50	26926
73	0	84	60	57	47	38	46	40	50	54	60	61	64	65	57	57	63	65	61	55	41584
74	0	70	94	83	76	82	90	93	81	91	120	110	108	90	93	102	111	136	139	122	77119
75	0	90	95	115	111	120	125	137	131	145	156	168	142	178	185	178	175	180	182	179	121647
