	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	58	99	118	133	170	178	200	248	225	223	243	270	271	266	313	300	290	284	286	205442
2	0	69	108	137	136	167	177	201	225	225	214	242	270	282	286	267	292	307	292	318	205387
3	0	84	114	114	156	165	208	193	219	219	245	273	235	284	267	293	278	330	309	319	207681
4	0	79	100	124	171	163	179	196	231	245	228	249	231	286	257	317	265	302	331	292	206201
5	0	75	101	144	137	168	184	197	236	231	234	275	259	278	284	311	288	310	275	282	205899
6	0	75	92	129	166	183	162	206	212	228	268	238	268	263	332	283	325	323	321	271	208550
7	0	88	118	121	162	171	186	198	230	216	258	256	294	283	240	274	279	329	328	289	207431
8	0	67	104	133	148	213	180	205	231	242	256	242	249	299	288	301	266	303	313	295	206231
9	0	81	122	161	151	184	193	219	229	226	230	235	266	295	262	294	261	333	319	312	207779
10	0	62	125	108	151	149	158	223	193	237	255	253	278	250	308	285	276	324	325	326	207099
11	0	79	121	125	145	153	219	198	222	247	267	251	286	248	292	283	266	319	329	286	207880
12	0	77	106	125	137	152	176	239	188	218	255	275	277	304	273	289	250	312	324	305	206655
13	0	73	107	120	161	170	159	220	250	238	229	228	260	250	290	312	265	303	323	297	206856
14	0	67	101	122	153	185	235	224	197	210	224	249	268	273	271	315	306	274	317	276	206765
15	0	81	116	150	172	172	189	219	224	220	236	266	275	258	251	321	288	336	309	326	207716
16	0	81	97	127	159	166	175	222	208	212	251	276	275	277	267	298	267	306	307	298	208258
17	0	68	103	144	150	157	164	233	200	216	245	243	256	243	284	305	299	329	315	265	216757
18	0	91	104	137	146	171	210	178	224	266	263	254	269	295	250	330	265	314	311	333	208150
19	0	67	91	116	117	176	191	214	223	234	225	238	297	297	285	302	286	316	302	316	206317
20	0	63	69	102	99	117	152	149	164	177	179	188	211	204	212	202	215	223	244	211	163512
21	0	59	89	107	90	136	126	142	167	178	164	191	213	203	203	205	235	230	195	258	160956
22	0	53	72	86	113	131	138	143	164	161	214	165	214	171	204	193	186	230	216	185	160154
23	0	45	92	92	114	138	126	161	149	163	167	217	185	209	218	209	220	233	244	211	156485
24	0	58	64	106	119	114	140	149	152	160	171	171	188	181	189	184	198	245	211	204	158987
25	0	51	83	105	94	124	136	140	170	152	159	175	179	203	224	201	208	190	228	232	155833
26	0	44	72	104	97	141	137	130	156	145	170	154	200	180	189	193	208	200	226	245	155440
27	0	52	63	99	113	112	145	154	156	173	174	170	195	186	196	208	227	232	247	235	157225
28	0	63	69	88	92	125	131	160	158	174	174	172	185	188	196	231	193	212	207	247	155908
29	0	69	74	103	111	98	132	134	133	170	153	197	154	218	210	188	229	225	223	221	158568
30	0	69	72	81	100	120	137	137	163	171	179	194	204	211	200	218	211	222	253	248	158627
31	0	58	73	92	128	133	118	133	167	172	165	180	185	204	180	206	207	227	219	241	157393
32	0	38	64	95	142	120	146	143	167	166	199	176	205	199	183	225	206	237	199	237	157813
33	0	47	83	94	99	132	162	121	149	139	187	185	202	209	219	201	211	218	247	203	160546
34	0	58	81	69	102	102	143	151	150	170	170	173	211	212	214	199	197	242	228	216	165648
35	0	62	76	100	106	122	137	154	178	168	194	179	210	201	179	229	214	255	221	241	165995
36	0	56	96	121	131	153	150	164	168	207	194	196	183	250	232	222	241	250	248	271	184141
37	0	78	107	98	149	132	153	182	210	238	179	202	222	250	237	253	305	262	298	265	190929
38	0	71	103	133	142	158	166	213	212	199	233	261	248	263	255	285	283	279	294	250	197648
39	0	76	118	115	142	157	177	179	227	229	216	234	271	292	267	302	298	300	309	301	203965
40	0	76	110	135	168	157	200	197	211	232	252	217	266	266	286	292	248	339	335	298	205271
41	0	65	94	149	130	186	178	196	227	213	238	241	257	280	243	242	295	283	298	332	207917
42	0	82	96	117	163	162	175	177	209	237	246	239	275	303	271	308	309	335	356	316	207120
43	0	84	113	122	141	179	192	212	226	225	229	246	293	281	252	264	346	347	310	305	215508
44	0	76	114	114	173	175	203	223	215	228	262	229	244	295	323	293	297	318	310	299	207443
45	0	73	94	139	149	177	185	206	204	249	247	239	284	244	294	311	266	322	312	295	212337
46	0	67	113	143	151	171	162	186	230	229	233	225	264	250	293	289	302	288	351	322	211253
47	0	89	95	146	143	166	191	223	249	225	273	237	256	275	302	284	344	313	334	319	209929
48	0	72	110	143	144	178	201	236	216	236	233	252	263	258	308	315	298	302	338	292	215853
49	0	75	109	144	162	160	175	198	220	221	225	273	231	280	274	291	275	340	283	276	215220
