	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	89	117	157	165	185	209	255	216	261	253	271	241	282	292	284	311	261	285	284	185372
2	0	85	106	165	177	190	186	222	206	260	255	247	247	277	298	293	230	271	253	293	184985
3	0	84	115	175	213	201	186	211	240	240	212	271	271	263	268	265	315	304	292	292	187146
4	0	79	120	192	183	205	214	237	256	246	239	255	251	283	288	249	303	283	287	326	185840
5	0	74	112	167	172	210	201	235	260	227	257	271	229	263	325	321	299	274	257	306	184770
6	0	91	130	146	194	203	237	262	255	248	275	309	283	252	272	255	297	297	297	306	183800
7	0	92	125	169	166	200	229	220	193	247	242	266	280	293	285	297	320	265	310	298	184532
8	0	87	133	166	160	183	208	213	256	267	274	294	244	284	288	281	301	287	297	325	184554
9	0	70	90	146	129	161	146	179	157	170	228	211	192	181	205	255	228	218	205	217	110610
10	0	41	61	95	83	60	116	112	113	112	129	99	104	143	118	121	129	109	119	147	59569
11	0	33	46	51	61	55	69	53	72	62	78	92	70	80	88	91	88	87	72	69	37375
12	0	21	24	28	34	47	41	59	47	44	52	66	42	55	38	55	66	33	53	48	24687
13	0	15	17	14	31	19	23	36	40	29	51	34	40	31	31	33	31	33	36	48	18229
14	0	8	15	21	19	21	18	27	29	24	33	25	28	25	28	25	33	38	21	26	14910
15	0	10	11	13	19	18	22	21	23	24	13	15	23	21	23	23	22	26	29	18	11916
16	0	7	13	14	12	14	13	20	16	24	13	15	15	18	15	17	21	18	11	20	9387
17	0	3	6	9	7	8	10	9	14	12	12	13	11	22	12	17	13	12	9	13	7554
18	0	5	8	10	8	5	14	10	10	17	9	8	11	16	17	14	13	7	7	12	7333
19	0	8	2	7	5	4	8	13	6	18	11	9	3	13	7	17	10	13	7	9	6159
20	0	4	5	11	6	7	8	1	9	10	9	14	8	8	9	9	10	6	11	18	5850
21	0	6	8	10	5	11	9	10	8	5	4	10	6	10	8	8	7	6	10	8	5534
22	0	2	2	5	4	12	10	6	10	6	14	11	9	7	8	10	11	11	9	6	5025
