	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	89	117	153	156	186	196	246	202	250	245	261	229	273	268	274	300	244	275	268	172959
2	0	85	105	160	173	186	174	201	199	241	245	232	240	265	282	273	220	256	241	271	171583
3	0	86	110	163	196	169	162	186	216	196	178	221	230	213	231	223	268	251	247	239	150263
4	0	80	104	155	135	138	152	156	162	159	180	168	160	181	185	159	206	184	190	213	109113
5	0	75	82	108	100	110	84	115	114	91	109	112	85	111	129	127	125	107	106	127	67959
6	0	92	95	77	91	75	77	89	82	85	81	119	100	76	69	67	95	86	93	71	42512
7	0	95	89	85	60	48	65	50	45	65	37	61	51	56	38	62	64	44	55	68	30747
8	0	90	101	83	58	48	42	43	54	62	52	63	36	39	27	31	45	30	34	43	25673
9	0	99	83	102	64	50	64	60	41	39	62	46	60	43	42	81	75	35	70	53	24878
10	0	92	80	86	61	43	51	51	53	24	47	31	23	45	31	24	66	37	65	45	22796
11	0	92	89	76	59	42	37	29	53	17	33	29	31	41	40	67	44	40	29	30	23085
12	0	91	87	77	69	71	37	52	31	35	52	43	22	53	20	25	72	17	42	82	22640
13	0	78	98	75	67	59	35	38	40	40	63	36	19	64	26	30	47	24	33	45	22116
14	0	85	98	72	78	57	36	39	25	32	40	49	32	52	36	53	52	48	32	30	23183
15	0	96	105	62	66	60	53	35	40	28	41	40	29	62	44	51	40	42	69	29	23830
16	0	81	104	75	74	63	52	43	37	45	41	37	27	40	42	28	33	45	20	39	22505
17	0	70	92	71	62	46	37	44	44	56	54	16	33	38	37	19	41	33	24	38	21678
18	0	91	99	88	64	52	50	37	39	62	28	28	25	61	47	41	28	29	42	30	23239
19	0	86	77	56	57	53	35	66	30	41	51	27	15	53	23	49	42	31	24	38	22330
20	0	73	65	65	61	44	38	25	42	28	29	50	34	23	28	19	24	16	51	42	23645
21	0	69	83	65	68	44	33	30	42	42	27	39	33	25	23	21	31	27	26	27	22339
22	0	25	15	20	23	24	32	24	26	32	27	21	36	26	24	23	37	27	31	27	21017
23	0	16	14	16	16	13	28	25	34	18	35	18	24	22	26	28	28	19	28	27	21916
24	0	27	11	14	19	21	21	20	22	26	24	18	16	47	22	16	34	17	25	29	21426
25	0	13	15	24	19	22	21	16	21	28	22	24	33	27	20	25	21	26	38	66	21651
26	0	18	18	19	23	28	22	21	28	22	26	20	24	25	24	46	48	26	27	35	22170
27	0	13	11	14	16	23	22	22	17	40	25	17	24	39	23	35	22	28	32	28	21654
28	0	18	14	20	19	16	23	25	13	19	22	27	33	25	16	18	27	21	26	23	21654
29	0	47	30	25	37	26	21	22	27	26	28	21	24	18	57	22	25	29	31	18	21522
30	0	32	21	29	32	17	27	25	30	28	24	40	24	32	20	16	27	26	36	34	22401
31	0	24	29	22	30	26	29	19	21	25	27	17	31	31	23	14	27	24	19	24	21939
