	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
7	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
8	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
9	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
10	238	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	64
11	470	3	0	0	3	0	3	0	1	0	0	1	0	1	0	0	0	3	0	0	156
12	736	2	1	2	2	1	0	0	5	0	0	0	2	0	0	2	0	3	2	2	219
13	794	6	2	3	8	8	2	1	3	1	1	2	0	1	1	0	1	4	0	0	253
14	836	2	2	3	0	2	4	2	2	0	0	4	1	2	0	0	1	5	4	0	241
15	858	1	2	7	9	6	6	0	3	0	1	5	1	1	0	1	2	5	6	1	264
16	870	6	2	6	4	8	4	1	3	0	1	0	0	2	3	0	0	4	9	0	255
17	855	7	2	3	8	8	2	2	5	0	0	1	0	1	2	0	1	4	1	0	248
18	908	5	4	5	5	8	2	0	7	0	1	5	0	4	2	0	1	6	2	0	210
19	839	4	3	5	5	5	2	0	2	0	1	2	0	4	3	1	0	5	4	1	219
20	864	5	2	3	2	4	1	0	9	0	0	1	1	3	2	0	0	3	5	0	244
21	823	5	1	1	1	12	3	1	4	0	0	2	0	4	1	0	2	5	2	0	228
22	789	10	4	4	4	7	3	2	7	0	1	4	1	4	2	0	0	6	4	1	254
23	842	8	2	7	1	3	4	4	9	1	2	1	0	2	0	0	2	5	2	1	342
24	750	4	4	7	2	5	3	0	2	2	2	2	2	3	2	0	3	6	4	1	253
25	1029	3	2	2	5	4	2	6	6	0	1	1	2	4	2	1	0	9	4	1	271
26	885	2	1	7	5	2	6	2	4	0	0	2	2	4	3	0	1	5	1	0	259
27	819	7	1	8	2	4	4	1	5	0	0	1	2	3	0	1	1	3	5	0	239
28	845	3	2	6	6	8	6	1	5	1	1	3	0	4	1	1	1	4	8	1	237
29	895	5	1	7	7	7	1	3	8	1	1	4	1	6	0	2	1	3	4	1	264
30	918	2	1	10	4	8	2	4	6	0	0	1	0	7	0	0	2	3	5	1	250
31	873	2	2	7	5	5	2	1	6	1	0	2	0	6	3	0	1	3	5	1	269
32	837	5	4	2	2	10	5	2	6	0	0	0	2	1	0	0	0	2	0	0	265
33	845	2	3	4	1	7	3	1	3	1	1	4	0	4	0	0	0	4	3	0	254
34	836	3	3	5	0	3	2	0	2	1	2	3	0	4	2	1	4	1	1	0	254
35	854	3	4	4	4	14	5	1	8	1	0	1	0	4	1	0	3	1	1	0	243
36	867	6	4	8	1	6	6	1	5	3	2	2	0	0	1	0	0	2	3	1	236
37	853	1	4	8	0	6	5	3	9	1	0	3	0	3	1	2	1	1	2	0	259
38	858	4	2	7	1	9	6	2	7	0	2	3	1	3	0	0	2	1	4	1	242
39	856	4	0	6	1	6	4	3	7	0	1	0	1	7	3	0	2	1	5	6	241
40	817	3	1	5	2	5	3	3	4	1	1	1	0	5	0	0	3	3	6	0	234
41	824	1	4	3	4	7	5	6	7	0	4	3	1	4	4	1	1	4	4	0	219
42	791	1	3	8	1	9	4	3	2	0	2	3	1	4	1	0	4	3	3	0	212
43	827	4	0	6	1	4	5	1	4	0	1	4	1	1	0	2	4	2	7	1	262
44	833	1	2	10	1	7	4	1	5	0	2	1	0	4	2	0	0	4	1	1	238
45	886	8	1	2	2	6	3	2	4	1	1	1	2	5	0	0	2	2	4	0	193
46	868	7	2	2	3	4	2	2	2	0	1	5	0	6	0	0	2	1	2	2	240
47	863	4	1	6	2	9	4	2	8	0	0	0	1	2	1	1	3	4	3	3	243
48	958	6	2	3	4	5	6	2	3	3	0	4	0	1	2	0	1	3	4	1	231
49	790	5	0	3	2	6	3	2	3	0	0	2	4	2	2	0	0	4	6	1	227
50	766	5	2	6	3	3	3	5	4	1	0	0	1	2	1	1	0	3	6	1	232
51	838	3	1	1	2	9	5	2	4	1	1	2	0	5	2	1	1	7	0	1	242
52	865	2	1	4	0	2	8	3	2	0	0	3	4	5	0	1	0	6	4	0	236
53	833	5	1	8	2	4	5	1	8	1	0	3	0	4	0	1	4	3	4	2	224
54	820	3	3	3	0	6	6	1	3	0	0	0	1	9	0	0	1	5	4	0	240
55	780	2	2	6	1	3	6	1	3	1	2	4	1	0	1	3	0	5	5	1	227
56	768	4	4	6	3	6	4	4	3	1	2	2	0	4	0	1	2	3	8	2	221
57	710	5	0	5	2	4	6	0	4	0	0	3	2	4	1	0	3	5	4	0	212
58	710	4	0	2	1	9	4	2	4	1	1	1	1	3	1	0	2	5	2	2	229
59	753	6	1	2	3	7	1	2	10	0	1	1	1	3	1	0	1	5	3	0	214
60	725	4	5	5	1	3	4	3	4	0	1	1	1	1	0	1	1	7	4	1	268
61	673	3	0	5	1	6	2	0	3	2	1	2	1	1	1	0	2	4	0	2	203
62	689	1	1	4	0	6	5	0	2	1	1	1	1	1	0	0	2	6	3	1	197
63	707	4	0	4	0	6	2	0	2	1	0	1	1	1	1	0	0	3	0	0	179
64	628	4	3	0	4	4	0	0	3	2	0	4	0	2	0	0	2	1	3	0	187
65	422	1	0	3	0	1	2	0	1	0	0	1	0	0	1	0	0	0	1	1	138
66	207	2	0	1	3	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	54
67	51	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	19
68	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7
69	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
70	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
