	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
14	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
26	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
32	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
48	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	3	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
50	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
53	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
54	6	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
55	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
