	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	512	1	1	1	2	4	1	1	3	0	2	1	0	1	0	0	0	1	0	0	93
10	606	5	3	4	1	4	1	0	7	0	2	1	1	0	2	0	1	0	1	0	170
11	621	4	3	3	3	3	2	1	4	0	2	1	2	2	2	0	0	0	4	0	197
12	681	1	2	5	3	1	0	1	4	0	1	0	3	2	0	1	0	0	0	0	222
13	791	3	2	2	5	6	1	1	2	0	2	3	1	2	1	1	1	1	0	0	187
14	763	3	3	2	1	0	0	3	1	0	0	2	1	5	0	0	5	1	1	0	230
15	815	2	1	5	2	3	1	0	3	0	1	1	3	2	0	1	6	0	0	1	225
16	812	1	0	7	6	4	0	2	2	0	0	0	3	1	0	0	1	0	6	0	231
17	859	7	2	3	6	5	0	2	3	1	1	1	0	0	0	0	2	2	1	1	251
18	903	2	4	5	3	0	0	1	8	0	2	6	1	6	0	0	2	0	1	2	225
19	948	5	3	2	1	4	0	0	3	0	3	0	0	4	3	0	0	0	2	0	261
20	850	4	2	3	2	3	2	1	9	0	2	1	0	2	1	0	0	3	2	0	270
21	840	6	2	2	3	5	2	3	5	0	0	2	1	2	0	0	2	1	1	1	236
22	872	7	4	2	3	5	0	2	8	0	3	0	1	2	1	0	2	2	0	0	248
23	894	7	4	6	3	3	3	5	10	1	0	2	2	0	0	0	1	2	1	2	261
24	858	1	3	7	0	2	1	2	5	0	2	1	1	2	0	0	0	1	1	2	276
25	929	2	2	3	5	3	0	7	7	0	3	1	1	2	2	0	1	0	1	0	279
26	955	4	3	5	4	2	0	3	3	0	2	0	6	1	2	1	1	0	2	0	272
27	921	5	4	9	2	3	2	1	4	1	0	1	3	2	2	1	0	1	2	0	278
28	896	3	4	8	4	2	2	1	4	1	2	2	2	0	0	2	0	1	3	0	263
29	1023	3	4	4	4	5	2	3	7	1	0	0	2	0	0	0	0	2	3	1	269
30	1062	2	4	12	5	3	0	5	4	1	0	2	2	4	0	0	0	0	3	1	274
31	949	2	4	7	3	3	2	1	2	1	0	2	1	3	1	0	0	1	3	0	284
32	945	5	1	2	2	6	2	3	6	0	0	0	4	1	2	0	1	2	0	0	238
33	886	2	1	3	3	6	1	2	1	0	1	0	2	0	2	0	0	0	1	1	245
34	966	1	4	3	2	1	3	0	4	1	0	1	1	0	2	2	1	0	0	2	285
35	981	3	3	3	6	4	0	0	7	1	0	1	3	0	2	1	2	2	1	1	240
36	990	6	5	5	2	2	4	3	5	1	2	0	1	1	0	0	0	0	1	1	237
37	945	4	3	10	1	3	2	3	2	2	3	1	2	0	2	3	0	0	2	0	259
38	949	7	2	7	3	3	2	4	6	0	1	3	2	2	1	0	1	0	3	1	240
39	981	2	4	6	2	5	2	4	8	0	0	2	1	1	0	0	1	2	3	5	249
40	919	1	2	4	3	1	1	3	4	1	1	1	0	0	2	0	1	3	2	0	257
41	968	4	4	2	4	2	2	7	7	0	4	1	1	2	3	0	0	2	2	0	269
42	943	3	6	5	5	3	1	5	2	0	2	1	1	2	2	0	1	1	4	1	240
43	966	3	1	5	0	3	2	1	7	0	0	2	2	2	5	0	1	0	4	1	277
44	986	7	3	6	4	7	1	1	3	0	0	1	0	1	1	0	0	3	1	1	279
45	1035	6	3	3	4	3	0	1	6	0	1	1	4	1	1	1	0	1	1	0	236
46	973	8	3	3	3	4	0	2	2	0	1	1	1	0	1	0	0	1	1	1	249
47	952	5	0	5	3	10	3	3	6	0	0	0	1	1	1	0	2	3	2	0	281
48	1077	6	2	1	3	4	2	3	6	3	0	0	1	1	2	0	0	1	5	1	291
49	917	4	0	3	1	4	1	3	3	0	0	0	3	2	2	0	0	1	2	0	254
50	867	8	6	8	5	3	1	7	7	0	0	0	1	1	1	0	1	1	4	1	261
51	1003	5	1	1	4	9	2	4	7	2	1	2	1	1	2	2	0	3	1	0	282
52	1003	2	4	2	2	2	4	2	3	0	0	1	6	1	0	0	0	2	1	0	267
53	996	3	1	10	3	4	2	2	4	1	0	3	0	1	0	1	1	1	3	0	248
54	963	4	5	4	2	1	2	2	6	0	0	1	0	0	1	0	1	4	5	0	236
55	886	6	2	5	3	2	4	4	3	1	0	0	2	2	2	1	0	1	1	0	274
56	892	5	3	6	3	3	3	3	3	0	0	1	1	3	0	1	1	2	4	0	257
57	836	5	4	6	5	5	2	0	4	1	1	3	2	2	0	0	0	0	3	1	228
58	867	6	1	3	1	4	1	2	8	2	0	3	2	2	2	0	0	3	3	1	267
59	898	3	4	3	6	3	2	1	9	0	2	2	0	0	2	0	0	0	3	0	262
60	792	4	2	6	4	3	2	1	4	0	0	1	3	2	2	0	0	3	5	0	266
61	794	5	0	3	6	3	0	0	3	2	1	0	3	3	1	2	1	1	0	1	220
62	779	2	1	1	2	3	1	2	0	1	0	2	1	0	2	0	3	1	2	0	218
63	835	2	2	4	4	2	3	1	3	0	1	1	0	0	0	0	0	10	0	0	206
64	783	4	6	2	4	4	2	3	4	1	0	0	0	1	1	5	0	0	3	0	210
65	675	2	0	5	0	2	2	2	5	0	0	1	4	0	1	0	0	0	2	2	202
66	615	1	2	2	1	1	1	1	4	1	0	0	1	4	2	0	0	2	2	0	166
67	358	2	0	4	1	1	0	1	1	0	0	0	0	0	2	0	1	1	0	1	102
68	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
