	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	361	1	2	2	1	8	6	7	5	8	6	10	15	11	14	11	6	13	6	5	1581
2	322	3	3	1	0	3	4	3	2	2	6	6	2	5	9	6	10	8	3	6	1028
3	416	2	7	0	2	2	1	2	3	5	3	4	2	4	4	10	0	8	1	3	576
4	626	0	5	0	2	1	2	0	1	0	0	3	1	5	3	12	4	5	11	5	377
5	791	1	4	5	7	0	1	2	5	2	4	1	2	10	5	6	4	12	12	8	327
6	870	1	3	0	3	0	0	1	6	0	3	1	0	11	3	4	7	7	8	5	355
7	893	2	3	1	6	1	0	0	4	1	1	0	1	6	5	10	11	2	14	2	311
8	879	1	3	2	3	1	2	0	1	2	3	0	1	11	2	9	10	4	19	3	263
9	925	2	7	1	1	1	2	1	3	0	3	1	0	10	1	16	15	3	14	3	260
10	965	0	3	1	3	0	0	0	8	0	1	0	0	12	1	9	15	4	16	1	307
11	941	3	1	4	3	1	3	1	4	0	1	0	0	5	1	12	10	4	23	1	266
12	990	1	2	1	1	1	2	0	2	0	4	0	2	7	1	8	9	7	10	2	251
13	941	3	5	2	4	1	0	0	6	0	2	3	0	9	0	10	11	3	8	2	294
14	977	2	5	2	4	1	3	0	2	1	2	1	0	2	0	11	12	4	10	3	292
15	942	3	3	0	3	0	2	2	6	0	0	0	1	7	1	6	16	5	13	4	229
16	1008	1	4	0	1	1	4	0	5	0	8	2	0	4	1	6	12	2	19	4	253
17	960	1	2	2	3	0	1	2	2	0	7	0	0	10	1	11	9	4	9	7	303
18	1007	1	3	1	5	0	0	0	2	1	4	1	0	11	3	9	6	5	15	5	270
19	921	4	5	2	3	0	2	0	7	1	3	1	0	8	3	15	8	4	16	7	266
20	947	2	3	1	2	0	1	0	4	2	4	0	0	10	0	11	8	7	7	5	295
21	983	0	4	1	3	1	2	2	3	0	3	0	2	12	0	14	5	4	9	5	280
22	1032	1	1	3	2	0	1	0	3	0	5	1	2	8	2	15	7	3	9	5	247
23	1044	4	0	0	2	0	2	1	2	1	1	0	0	10	1	9	11	5	8	10	264
24	1006	1	7	3	5	1	3	0	4	1	3	0	0	8	0	12	7	2	8	8	262
25	912	2	2	1	6	0	1	0	4	0	3	0	0	10	2	8	9	4	13	5	243
26	1016	2	2	2	4	0	0	0	6	3	4	0	1	11	0	6	7	6	16	7	254
27	990	0	1	1	4	0	4	1	2	2	7	0	1	6	0	8	11	4	13	9	285
28	939	1	3	3	1	0	3	0	9	3	4	0	2	7	1	3	10	1	14	5	258
29	1006	1	1	1	3	0	4	0	4	1	4	0	1	14	1	7	5	5	14	4	268
30	917	1	1	1	4	0	2	1	3	0	5	0	1	12	2	7	5	2	13	5	274
31	924	1	2	2	5	2	3	0	5	0	3	0	1	8	2	4	12	6	16	5	253
32	979	2	3	0	4	3	1	1	3	1	7	0	0	9	3	6	8	2	10	7	274
33	985	1	1	2	4	1	2	2	3	0	6	0	0	9	0	10	11	8	12	5	255
34	971	6	2	2	4	0	3	1	2	0	5	0	1	6	1	9	10	41	13	6	275
35	995	5	4	1	1	1	2	1	7	1	4	0	0	5	1	8	12	5	6	1	258
36	991	5	6	2	3	2	1	0	4	1	3	0	0	8	1	7	11	5	14	9	278
37	953	1	6	1	4	0	2	1	5	1	5	1	3	8	4	4	4	2	10	7	293
38	948	2	3	1	5	0	3	0	4	0	3	0	0	9	0	12	14	6	14	7	261
39	973	0	1	0	7	1	2	1	5	0	4	1	0	10	2	3	13	6	14	5	286
40	1020	3	4	1	2	0	0	0	5	0	1	0	1	16	1	12	11	6	16	7	290
41	923	3	3	1	2	1	4	1	6	0	4	0	0	9	1	8	8	5	10	8	282
42	1057	3	4	3	1	1	2	0	4	0	8	0	0	14	3	12	14	3	14	4	292
43	965	1	7	0	2	0	1	0	5	0	5	0	1	11	2	5	10	4	18	8	280
44	1024	1	3	3	2	1	6	1	3	0	6	1	0	9	1	6	7	3	12	3	264
45	936	2	14	1	7	0	3	0	1	0	4	0	0	12	4	12	3	24	11	3	303
46	1007	3	2	3	3	1	2	2	8	0	5	1	1	6	3	10	8	1	13	5	291
47	977	3	6	1	3	1	1	1	2	0	3	1	1	14	3	9	6	9	14	7	286
48	1060	1	2	0	3	1	5	0	6	2	3	1	1	13	2	9	9	7	13	7	290
49	1029	1	1	2	4	0	3	2	4	0	4	0	1	14	4	13	8	4	5	8	322
