	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
8	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
9	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
10	526	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	25
11	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	50
12	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	32
13	479	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	58
14	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	44
15	418	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	54
16	405	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
17	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
18	442	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	64
19	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	61
20	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	68
21	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
22	529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
23	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66
24	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	81
25	637	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	60
26	584	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	116
27	674	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	75
28	637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
29	644	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	67
30	685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77
31	664	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	64
32	706	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	76
33	846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	81
34	705	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77
35	746	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	53
36	692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	78
37	739	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	65
38	752	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	72
39	698	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	59
40	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	62
41	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	61
42	792	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	77
43	759	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	62
44	1010	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	83
45	694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	73
46	639	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	58
47	700	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	66
48	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	66
49	643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	71
50	521	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	57
51	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67
52	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	57
53	524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	58
54	485	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	51
55	482	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	48
56	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
57	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70
58	389	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	62
59	314	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	53
60	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
61	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	48
62	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
63	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	51
64	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
65	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
66	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
67	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
68	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
69	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
70	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
71	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
