	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	655	1	2	2	5	4	1	2	6	1	4	11	2	10	4	8	1	4	1	1	1171
2	1163	2	6	4	2	7	1	4	6	4	5	1	2	2	8	3	1	6	3	0	1321
3	1402	4	4	1	4	9	2	6	2	5	3	4	8	2	3	3	6	4	4	1	2394
4	1417	0	5	2	3	3	4	0	1	4	0	5	5	4	2	1	1	0	1	0	824
5	1578	6	3	1	1	1	2	10	1	0	1	3	7	5	2	0	1	0	1	0	505
6	1595	5	2	0	1	3	0	5	0	0	0	2	6	4	0	0	0	1	1	0	393
7	1569	3	4	1	2	2	2	0	0	0	0	2	3	1	0	0	0	0	0	1	385
8	1646	5	2	1	1	0	2	0	2	0	1	1	1	0	1	0	1	0	1	1	320
9	1510	3	1	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	318
10	1596	2	2	0	0	2	0	1	0	0	1	2	3	0	1	1	0	1	0	0	340
11	1059	4	4	0	1	0	0	0	0	0	0	3	2	0	0	0	1	1	0	0	352
12	858	1	3	0	4	0	0	0	0	0	0	0	2	0	0	0	0	2	1	1	327
13	1144	3	3	0	3	3	1	0	0	1	0	6	2	0	1	0	0	0	3	0	360
14	864	3	2	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	2	1	327
15	778	3	6	2	2	1	1	1	0	1	1	2	2	0	0	0	0	0	0	0	325
16	709	5	1	2	3	1	0	0	0	3	1	3	2	0	1	0	0	0	1	0	315
17	714	3	0	0	0	1	2	0	0	0	0	1	1	0	1	0	0	0	2	0	365
18	768	5	3	0	2	2	0	0	0	0	1	3	2	0	1	0	0	1	0	0	341
19	713	3	0	2	1	1	0	0	0	0	1	1	4	0	1	0	1	0	0	0	318
20	714	5	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	352
21	675	4	8	0	4	2	0	0	0	0	0	4	1	0	0	0	1	0	2	1	327
22	728	6	1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	1	2	0	333
23	705	5	3	0	2	0	2	0	0	0	2	2	2	0	0	0	1	0	0	0	426
24	709	4	4	2	0	1	1	0	0	0	0	2	3	0	0	0	0	2	2	0	345
25	991	2	3	2	1	0	0	0	0	0	0	2	2	0	1	0	2	1	2	0	370
26	766	6	5	0	1	1	0	0	2	0	0	3	1	0	0	0	1	0	1	0	382
27	696	2	5	1	1	1	1	0	0	0	0	3	6	0	1	0	0	0	0	0	380
28	660	3	4	0	3	1	3	0	0	0	0	3	1	0	0	0	0	0	3	1	346
29	679	4	3	1	2	1	0	0	0	0	1	3	4	0	0	0	0	1	0	0	383
30	701	3	3	1	2	1	1	1	0	1	0	4	4	0	0	0	0	0	2	0	390
31	713	5	2	0	1	1	1	0	0	0	0	3	3	1	0	0	3	2	3	1	375
