	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	100617	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
21	102718	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
22	108151	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
23	105700	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
24	105262	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
25	104751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15
26	105483	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74
27	105022	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
28	105279	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
29	105915	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
30	105885	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
31	105202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
32	104894	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
33	103304	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10
34	98312	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13
35	87642	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15
36	62202	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	13
37	21821	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7
38	9028	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	29
39	3656	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	24
40	2670	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18
41	1901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
42	1646	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18
43	1357	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13
44	1258	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13
45	945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
46	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
47	652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
48	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
49	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8
50	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
51	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3
52	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
53	67	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
54	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
