	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	41	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	919	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	93
10	1401	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	128
11	1239	3	1	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	1	116
12	1260	2	0	1	1	1	0	0	0	0	0	1	0	0	0	4	0	2	0	1	158
13	1404	5	0	2	2	0	0	0	1	1	0	3	0	0	3	0	1	2	2	1	229
14	1362	0	1	0	2	0	0	0	3	1	1	1	1	0	0	0	1	1	2	0	226
15	1299	1	3	11	2	0	0	0	1	2	4	0	0	0	1	0	0	2	7	1	252
16	999	1	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	193
17	868	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	153
18	798	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	1	1	0	0	156
19	767	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	151
20	790	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	156
21	690	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	162
22	811	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	159
23	857	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	241
24	749	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	166
25	835	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	154
26	952	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	191
27	886	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	146
28	891	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	169
29	838	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	152
30	863	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	1	152
31	878	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	3	1	1	0	140
32	830	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	160
33	1012	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	158
34	889	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	164
35	942	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	130
36	921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	154
37	941	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	147
38	918	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	2	0	145
39	1088	2	1	0	1	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	125
40	873	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	3	2	0	2	322
41	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	141
42	929	2	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	1	152
43	909	3	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	135
44	964	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	153
45	1123	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	0	151
46	870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	140
47	987	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	140
48	884	0	1	1	0	0	0	1	0	0	0	1	1	0	0	0	2	1	3	1	141
49	909	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	3	0	159
50	954	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	149
51	1044	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	2	151
52	915	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	138
53	781	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	137
54	914	2	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	139
55	827	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	3	0	128
56	764	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	123
57	832	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	217
58	819	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	145
59	932	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	497
60	1061	1	3	5	0	0	0	0	0	0	0	2	2	0	0	0	0	1	2	1	178
61	1163	1	3	6	8	0	0	0	0	2	3	1	0	0	3	0	0	2	2	1	235
62	1116	5	0	4	0	1	0	0	1	3	1	0	0	2	0	0	0	2	2	0	191
63	1099	2	1	0	0	1	0	0	1	0	0	1	1	0	6	0	1	3	1	0	168
64	807	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	109
65	757	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	97
66	703	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	3	0	1	71
67	498	0	4	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	57
68	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
