	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	130	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	83
2	184	0	0	0	2	2	0	0	0	1	1	2	2	0	0	0	0	0	1	0	213
3	435	0	1	32	2	3	3	1	10	7	6	6	7	3	1	12	4	5	5	1	1453
4	813	5	4	13	2	3	10	6	9	7	11	16	7	10	11	3	4	20	4	6	2135
5	1121	8	7	18	7	13	10	8	10	14	8	19	5	5	7	5	6	7	8	7	2146
6	1403	3	8	9	5	6	6	7	4	6	10	23	15	7	3	4	3	7	9	2	1668
7	1495	5	3	4	2	8	1	3	3	3	4	14	10	3	3	4	2	6	4	3	1209
8	1631	4	1	6	7	8	3	2	4	1	5	11	8	2	2	2	2	3	6	2	808
9	1675	4	2	5	0	1	2	1	5	2	5	10	8	0	2	0	11	2	4	1	684
10	1703	5	4	7	0	3	0	3	7	0	2	15	15	2	3	2	1	2	4	0	580
11	1730	5	0	6	2	4	3	4	3	0	6	14	13	3	0	3	1	2	4	0	521
12	1727	6	1	7	2	3	0	0	1	0	3	16	14	1	0	2	2	2	4	3	502
13	1710	3	1	10	2	6	2	2	1	0	3	17	12	0	3	1	1	2	2	1	542
14	1811	2	1	10	0	1	1	1	0	0	2	15	6	0	2	2	4	3	4	1	541
15	1735	3	3	8	3	2	1	4	0	0	5	14	10	1	0	1	2	3	4	0	505
16	1645	8	0	5	0	1	2	0	1	1	1	15	13	1	2	0	5	0	2	1	584
17	1674	6	5	9	3	5	1	2	2	1	0	14	7	0	3	1	2	2	4	1	515
18	1731	3	3	9	0	1	0	3	1	1	0	11	13	2	0	0	2	1	2	2	479
19	1590	1	0	9	1	3	1	0	2	0	1	18	10	1	4	1	2	2	1	0	473
20	1696	5	4	7	2	2	2	1	3	0	1	13	4	0	1	1	0	3	8	5	496
21	1666	9	3	8	0	2	0	1	2	1	1	16	12	0	0	1	3	3	8	2	513
22	1712	12	2	5	1	2	0	1	1	0	1	17	12	1	1	0	0	4	5	3	456
23	1823	3	2	6	1	0	1	0	3	0	1	9	13	1	3	2	0	0	3	1	608
24	1792	2	2	8	1	1	0	1	2	0	0	14	8	1	2	0	0	2	6	4	481
25	1883	5	3	5	1	1	4	0	2	1	1	23	9	1	1	1	2	1	3	1	569
26	1763	7	1	9	1	2	3	0	4	0	0	11	9	2	3	2	1	1	8	0	584
27	1692	9	2	9	0	2	3	1	2	0	0	19	15	0	2	0	0	1	1	0	480
28	1659	2	2	9	3	1	2	1	2	0	0	13	4	2	0	1	1	4	4	1	484
29	1620	11	1	3	2	4	2	0	1	0	0	13	16	2	2	0	1	3	6	2	543
30	1965	0	1	13	1	2	3	0	3	0	0	12	9	0	1	4	0	1	6	3	504
31	1717	5	2	6	1	2	3	1	2	0	1	12	9	2	1	1	4	4	5	2	529
32	1687	4	4	6	0	0	0	1	2	0	2	17	13	1	3	1	4	2	4	1	633
33	1687	7	2	8	5	2	2	2	1	1	0	22	11	0	0	0	2	8	20	1	562
34	1754	1	1	7	0	4	4	1	1	0	0	15	17	0	1	3	1	4	2	1	500
35	1590	4	3	6	0	2	2	1	2	1	0	20	10	0	3	0	1	2	2	0	505
36	1641	8	2	6	2	2	3	2	0	0	0	12	11	0	0	3	2	2	2	1	493
37	1663	2	2	10	3	7	6	2	4	0	0	12	12	0	0	2	0	0	1	0	471
38	1703	6	2	6	1	2	2	0	2	0	0	17	10	0	1	3	1	2	3	0	503
39	1662	3	2	12	2	2	0	0	15	0	2	6	11	1	1	1	1	2	4	2	468
40	1712	0	4	6	1	1	3	0	4	0	1	12	9	1	0	1	2	4	1	0	490
41	1732	2	2	5	2	0	1	1	3	0	0	11	16	1	0	1	3	3	1	0	522
42	1804	6	3	5	1	3	3	0	2	0	1	17	9	2	2	1	2	2	2	0	496
43	1728	8	3	5	0	1	3	0	2	0	2	17	12	0	1	0	1	1	3	1	489
44	1927	5	4	7	1	3	2	0	0	0	0	14	11	1	0	1	0	5	3	1	512
45	1725	4	1	3	3	2	1	0	2	0	1	16	14	1	0	0	2	4	2	6	500
46	1745	7	0	5	2	1	0	1	1	0	1	16	7	1	3	0	2	2	1	2	480
47	1823	5	0	4	0	4	1	0	4	0	0	13	9	2	0	0	1	3	2	2	469
48	1873	1	2	3	1	2	3	3	2	0	0	20	14	0	1	0	2	3	4	3	469
49	1773	4	1	4	2	5	2	2	1	0	2	14	10	0	3	0	1	1	4	4	521
50	1665	5	4	7	2	3	2	1	1	0	0	15	12	2	1	0	0	3	1	0	491
51	1733	2	1	4	1	2	3	0	2	1	1	13	7	0	1	0	0	2	5	0	481
52	1778	7	2	3	1	4	0	0	1	0	0	9	11	1	1	0	1	0	3	1	521
53	1793	6	3	9	1	1	1	1	0	0	1	12	8	6	1	0	1	3	1	1	466
54	1770	5	3	4	1	4	0	0	2	0	2	19	8	3	2	1	0	4	0	0	477
55	1805	2	1	3	1	4	0	1	1	1	1	11	8	0	2	2	1	0	6	1	499
56	1662	4	3	4	1	2	0	2	2	1	1	10	13	3	0	2	0	1	1	2	482
57	1666	2	0	7	1	3	2	1	0	0	0	14	14	0	2	0	0	2	5	1	519
58	1827	3	0	4	0	1	0	0	1	0	1	14	15	2	2	0	3	5	3	2	534
59	1758	3	1	3	1	2	0	0	6	1	2	13	11	1	2	0	0	1	2	1	466
60	1735	4	2	6	0	3	0	0	1	2	0	8	8	0	3	0	0	2	5	2	631
61	1965	3	1	9	2	4	1	1	5	0	0	9	12	0	3	0	1	3	5	2	468
62	1798	3	3	6	1	6	4	0	4	0	1	16	9	0	4	0	4	5	0	2	489
63	1943	3	6	6	1	4	0	5	1	0	0	12	7	2	0	0	2	2	0	1	485
64	1746	6	4	3	3	4	4	0	0	2	1	23	14	3	2	0	1	3	2	2	504
65	1792	7	5	5	2	4	2	0	0	0	4	15	8	2	4	1	2	3	5	3	579
66	1784	3	4	2	3	7	0	5	2	2	4	26	9	4	18	1	0	3	1	1	639
67	1896	3	6	9	9	9	4	12	18	4	5	23	19	6	12	2	5	2	20	1	1035
68	1793	9	12	14	12	27	16	27	9	18	19	27	21	18	16	7	17	9	6	15	1565
69	1933	12	16	22	22	37	37	39	27	31	34	63	48	40	26	29	36	38	13	16	2664
70	1927	10	32	46	50	53	64	65	49	78	61	67	76	71	63	65	74	49	31	43	4502
71	1843	28	36	55	82	82	110	115	104	108	83	118	120	79	117	96	86	74	85	81	6782
72	1525	34	51	62	98	97	91	131	109	130	116	123	136	114	119	94	102	94	102	111	8012
73	1277	27	45	97	68	102	111	103	86	70	108	113	111	93	100	98	82	93	81	82	7319
74	1092	24	41	79	63	70	79	91	59	86	94	60	102	69	62	82	70	69	62	62	5981
75	1068	20	51	59	76	84	86	108	54	66	112	90	107	91	100	64	84	73	72	72	6176
