	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	42
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	77
8	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	263
9	0	1	0	0	0	1	0	1	0	0	1	1	2	1	1	1	1	0	1	0	671
10	0	1	1	0	2	0	1	2	3	1	2	3	0	1	0	5	2	1	2	3	1433
11	0	2	2	2	1	0	1	0	2	3	3	4	0	0	1	4	2	3	1	0	2036
12	0	4	1	2	1	3	1	1	3	2	11	0	3	1	4	6	2	2	4	1	1939
13	0	1	7	4	0	1	0	2	6	2	0	3	2	3	2	5	0	5	7	4	2076
14	0	5	1	2	3	2	1	2	1	1	2	1	1	3	3	14	2	5	5	1	2159
15	0	0	3	0	1	3	2	1	4	1	5	2	2	4	2	3	4	4	3	3	2147
16	0	2	2	1	3	2	1	4	2	4	9	4	4	2	1	4	0	3	4	1	2222
17	0	1	3	0	6	1	0	3	1	2	2	5	3	2	1	4	3	5	2	4	2272
18	0	2	4	2	3	3	3	2	1	2	3	3	2	2	5	4	2	6	5	5	2168
19	0	2	1	0	1	3	3	0	1	3	0	1	14	4	2	3	4	2	2	3	2174
20	0	1	1	0	0	1	3	3	2	5	0	3	6	2	2	2	5	3	4	4	2219
21	0	3	2	1	1	1	1	1	4	2	1	2	3	1	1	3	1	3	7	3	2204
22	0	1	2	3	3	4	0	0	2	2	3	2	0	5	3	3	7	2	3	4	2283
23	0	1	1	2	5	1	1	1	8	2	2	8	0	0	5	2	4	4	2	4	2260
24	0	0	0	1	3	1	3	2	1	1	2	2	3	3	6	5	5	4	4	5	2241
25	0	3	4	3	3	0	2	5	3	4	0	5	1	4	3	5	2	5	4	4	2265
26	0	2	2	1	2	3	2	1	0	1	5	1	0	1	3	4	5	2	8	6	2234
27	0	3	5	3	0	2	2	2	0	2	1	4	4	4	3	2	2	4	6	3	2281
28	0	1	3	1	0	0	0	4	2	0	3	4	1	3	0	7	2	2	8	5	2386
29	0	1	3	4	2	3	7	0	4	4	2	0	3	3	7	2	2	3	8	1	2444
30	0	1	0	2	2	0	3	6	2	0	2	4	0	4	3	3	1	3	2	3	2250
31	0	2	0	4	2	3	3	2	1	0	7	3	0	3	4	5	2	5	4	1	2311
32	0	1	1	1	3	1	0	2	2	0	4	1	2	1	5	1	3	4	5	6	2358
33	0	0	2	4	0	4	3	0	3	3	7	5	3	0	3	5	2	2	21	4	2248
34	0	1	1	2	1	4	3	1	3	2	4	3	2	0	0	2	4	5	1	3	2252
35	0	0	1	0	1	2	0	1	2	0	2	2	3	1	2	5	4	2	1	3	2358
36	0	0	1	1	0	1	1	3	3	0	2	1	2	1	4	4	2	6	5	3	2329
37	0	3	2	2	0	2	0	1	2	1	2	4	3	1	3	4	4	6	7	1	2584
38	0	0	4	5	0	1	4	3	5	1	3	2	4	1	4	1	1	8	4	2	2266
39	0	1	4	1	2	0	2	2	4	4	2	0	1	1	2	4	1	8	4	2	2323
40	0	0	0	3	1	1	3	0	0	2	3	1	4	5	10	2	3	5	4	2	2088
41	0	1	5	7	0	3	2	2	3	3	3	1	1	5	1	1	3	0	2	1	2209
42	0	0	1	3	2	1	2	1	1	0	3	1	4	1	1	2	3	7	2	5	2196
43	0	0	2	3	3	3	3	1	1	5	2	3	2	4	2	3	2	17	5	3	2159
44	0	1	0	2	0	0	5	1	1	1	6	2	3	2	2	0	1	2	2	4	2143
45	0	1	2	3	5	2	3	2	0	1	1	1	0	3	4	3	1	3	5	4	2067
46	0	1	2	0	0	3	3	3	2	6	5	1	1	2	3	1	2	2	2	3	2016
47	0	4	1	1	0	2	2	0	0	2	2	1	6	0	4	3	1	3	2	2	2001
48	0	3	1	2	2	1	2	2	2	1	1	3	1	2	4	1	0	2	8	3	2060
49	0	1	2	5	1	0	0	0	2	3	1	5	1	6	2	3	3	2	4	3	2060
50	0	0	1	2	3	3	1	0	1	1	2	1	7	2	3	3	0	4	6	2	2268
51	0	0	1	3	0	3	1	0	6	2	2	5	1	0	2	1	2	6	3	2	1802
52	0	0	1	0	2	2	1	1	3	2	4	1	4	3	3	2	0	2	4	9	1907
53	0	3	0	0	3	1	1	1	2	2	3	0	1	0	1	1	2	3	1	6	1804
54	0	0	1	3	1	1	0	1	0	2	3	2	8	0	1	4	6	2	1	3	1785
55	0	0	2	0	1	2	1	1	0	2	8	3	0	1	3	2	1	5	4	3	1870
56	0	0	0	1	0	1	2	3	1	1	4	6	2	4	3	5	0	3	1	4	1664
57	0	1	0	1	2	0	3	2	2	2	2	2	1	2	1	0	0	3	6	1	1583
58	0	1	3	3	1	2	1	0	1	1	3	4	2	2	1	0	0	4	4	0	1541
59	0	0	1	0	3	0	0	2	3	2	2	2	2	2	3	4	0	2	1	2	1507
60	0	2	3	5	0	0	1	2	3	4	5	4	1	2	0	1	0	3	3	1	1491
61	0	1	0	1	3	2	4	1	2	0	4	3	3	1	0	1	3	1	2	1	1542
62	0	0	2	1	0	0	2	1	2	2	2	2	3	0	1	1	1	1	5	2	1394
63	0	0	0	2	0	4	0	1	3	2	2	1	0	3	3	4	2	4	1	1	1272
64	0	3	0	3	0	1	0	0	0	2	3	0	2	2	2	4	0	2	1	2	1093
65	0	0	1	4	0	1	3	0	0	0	0	0	0	1	0	0	2	2	0	1	983
66	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	2	1	2	0	0	552
67	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	168
68	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	83
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
