	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	1	2	2	1	0	2	0	2	2	1	0	0	2	0	1	2	1	4	1	825
10	0	2	1	1	3	1	1	1	3	3	1	0	2	4	3	2	0	4	3	3	1315
11	0	1	3	1	4	1	2	2	3	1	5	2	5	5	2	3	3	2	2	2	1538
12	0	0	1	2	2	4	2	3	0	4	0	7	0	1	3	1	1	3	0	4	1681
13	0	4	2	2	3	3	0	3	2	2	7	2	0	3	1	5	1	2	3	2	1831
14	0	2	2	3	4	2	0	2	3	6	0	2	4	4	5	1	4	6	1	1	2020
15	0	2	0	2	5	2	2	4	5	2	6	6	3	8	2	10	2	4	4	2	2217
16	0	1	1	1	1	3	10	4	6	1	4	3	4	6	2	3	1	2	1	3	2677
17	0	1	5	1	2	2	7	3	7	1	3	2	2	1	3	3	5	2	4	9	3020
18	0	0	2	3	2	4	3	6	1	3	1	2	3	6	0	3	3	3	8	2	3333
19	0	1	1	6	1	5	2	5	3	2	2	2	4	5	7	6	6	2	3	1	2900
20	0	3	0	2	3	5	2	0	2	3	3	5	4	4	3	4	5	3	6	6	3031
21	0	3	2	3	3	4	4	2	3	4	2	2	1	3	6	2	3	4	3	7	3067
22	0	3	1	3	5	3	3	3	3	4	2	3	4	4	6	0	3	3	2	8	3079
23	0	2	3	1	1	4	1	7	5	6	4	3	5	4	3	2	4	4	5	4	3167
24	0	0	2	5	3	3	3	2	0	3	5	3	3	8	2	4	3	5	3	2	3222
25	0	1	1	3	2	3	3	5	3	5	2	5	4	5	3	4	4	4	6	10	3203
26	0	1	3	1	4	5	10	2	3	3	4	11	1	4	6	18	5	2	4	10	3273
27	0	4	4	1	2	1	3	1	3	6	2	5	6	3	3	6	2	3	3	8	2994
28	0	1	1	5	3	0	4	2	1	4	3	2	6	5	5	1	0	4	7	4	2880
29	0	3	1	1	3	2	3	2	5	6	4	3	6	10	6	2	6	7	4	4	2935
30	0	2	3	4	6	1	3	3	7	4	4	6	5	4	5	3	7	8	4	1	3504
31	0	2	3	0	3	6	6	6	0	4	2	4	8	7	6	3	2	5	5	3	3130
32	0	1	4	3	0	3	7	5	6	4	5	4	5	5	4	3	1	4	14	4	3124
33	0	1	6	5	1	3	1	2	1	6	5	14	3	6	5	3	2	4	7	4	3077
34	0	1	2	6	7	12	6	0	3	4	4	4	0	5	3	5	4	18	7	2	3073
35	0	1	0	6	5	2	1	8	3	4	2	4	5	5	5	2	5	5	7	7	3051
36	0	1	3	4	4	4	1	3	3	2	3	7	2	9	5	3	4	4	2	4	3067
37	0	1	0	1	4	7	7	4	1	2	4	6	2	7	3	1	2	4	6	3	3066
38	0	1	3	1	1	5	7	8	5	1	6	6	3	4	2	1	3	3	10	8	3022
39	0	1	5	5	4	5	2	2	4	7	0	4	4	3	3	1	7	3	6	15	3178
40	0	4	7	6	4	6	2	5	4	7	0	10	2	2	1	2	2	6	5	6	3330
41	0	1	6	0	5	2	3	7	2	2	4	1	4	3	1	1	4	4	10	6	3191
42	0	1	1	4	3	5	1	5	3	7	5	3	3	9	3	4	6	5	6	4	3261
43	0	1	4	5	6	5	3	3	6	7	7	6	3	10	6	2	2	3	5	5	3178
44	0	2	2	2	5	3	1	3	3	2	3	6	1	2	4	3	2	4	8	3	3042
45	0	1	5	4	4	1	7	5	2	6	6	4	3	4	5	7	5	4	8	6	3065
46	0	2	0	4	2	0	6	2	5	3	6	6	5	7	2	0	1	3	5	4	3119
47	0	2	4	2	1	1	2	5	3	1	4	3	5	7	4	4	5	6	8	3	3158
48	0	0	2	5	4	2	3	5	3	3	5	2	2	9	6	2	5	7	3	3	3128
49	0	3	3	4	3	4	2	6	7	2	3	9	2	7	1	2	6	8	5	4	3018
50	0	2	3	1	3	2	8	7	0	8	2	3	2	6	2	1	1	1	10	5	3200
51	0	1	0	1	7	4	4	2	1	6	1	3	3	1	5	6	3	7	6	3	2978
52	0	1	0	4	8	1	4	2	5	3	7	4	3	9	5	1	6	1	2	4	2985
53	0	4	4	4	4	1	5	3	2	3	5	5	3	7	3	5	2	1	3	4	3051
54	0	3	2	4	3	3	4	4	2	7	2	5	3	5	4	2	5	5	2	4	3295
55	0	1	3	3	1	1	3	5	5	2	4	2	1	4	1	2	3	6	7	3	2976
56	0	2	3	2	3	4	4	8	0	2	2	5	4	3	6	0	3	1	5	8	2967
57	0	2	4	2	5	4	3	5	3	4	5	7	5	3	1	3	6	2	8	9	2989
58	0	2	3	2	1	2	3	4	1	1	4	4	3	6	2	3	3	3	6	2	3201
59	0	2	1	3	1	3	3	6	1	5	3	3	3	3	3	5	2	3	6	2	2970
60	0	2	2	0	1	2	4	3	0	2	5	3	2	4	3	4	7	4	2	8	2796
61	0	0	2	5	2	3	6	2	2	2	1	0	2	4	2	0	3	2	1	3	2242
62	0	2	1	1	4	0	0	2	0	1	5	5	1	8	2	1	3	5	3	5	1929
63	0	2	1	3	1	1	2	1	1	3	2	1	1	6	2	0	3	3	5	4	1768
64	0	0	1	2	4	2	5	0	0	4	2	5	1	3	3	3	2	4	3	6	1727
65	0	2	1	1	0	1	3	0	3	5	6	3	2	4	3	0	1	2	3	2	1619
66	0	1	0	4	3	4	3	1	5	2	3	3	2	1	2	3	3	3	4	2	1369
67	0	2	1	2	1	2	1	5	1	2	2	1	0	2	2	3	0	2	2	2	1026
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
