	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	0	0	3	2	3	1	3	4	3	2	4	4	6	4	4	11	5	5	4489
2	0	0	0	0	1	0	1	1	3	3	3	3	3	3	1	0	3	5	0	2	2469
3	0	0	0	1	1	1	1	1	0	2	0	0	1	0	0	3	2	1	1	1	1046
4	0	0	0	1	0	1	0	2	1	1	0	0	0	3	1	2	1	0	2	2	593
5	0	0	0	1	0	1	0	0	0	2	4	0	2	0	1	1	3	1	0	0	588
6	0	0	0	0	0	1	2	1	1	1	0	2	1	2	2	1	3	2	2	2	627
7	0	0	1	0	0	2	0	2	1	1	1	1	4	1	4	2	1	2	4	3	714
8	0	0	1	0	0	1	1	0	2	0	3	2	0	0	1	1	2	3	3	2	686
9	0	0	1	0	1	3	1	0	0	1	1	2	1	3	0	2	0	3	1	3	659
10	0	0	1	1	2	0	0	1	1	2	0	1	2	1	3	2	0	1	3	1	757
11	0	1	1	2	0	2	1	6	1	0	2	1	2	3	1	4	2	3	4	0	669
12	0	1	0	3	0	3	1	3	0	3	1	2	1	1	2	1	1	3	1	4	678
13	0	0	2	0	1	2	1	2	2	3	2	1	0	3	3	2	1	2	2	3	637
14	0	0	0	1	2	1	0	1	1	1	1	0	1	1	1	3	1	2	1	1	705
15	0	0	0	2	0	1	0	1	0	3	2	1	2	0	1	0	0	1	3	2	704
16	0	0	0	0	0	2	0	4	2	1	1	1	1	0	1	2	5	1	1	2	731
17	0	0	0	0	0	2	0	0	0	0	1	2	3	0	1	1	1	3	1	0	730
18	0	0	1	2	2	1	2	3	1	0	0	1	0	3	4	3	2	2	3	1	727
19	0	0	0	2	0	2	1	1	2	2	2	0	2	0	4	1	1	1	2	1	726
20	0	0	0	1	1	0	2	1	1	0	1	5	0	3	1	1	1	3	2	3	758
21	0	1	0	0	0	1	0	3	2	2	0	1	2	2	2	0	3	2	1	1	691
22	0	0	0	2	0	1	2	1	0	2	1	0	1	5	1	1	3	4	2	2	783
23	0	1	1	0	0	1	1	2	3	4	4	0	1	2	4	0	2	2	2	2	878
24	0	0	2	2	1	1	2	1	1	1	2	0	5	13	1	3	1	1	1	2	809
25	0	0	0	0	0	3	2	1	0	0	0	4	2	1	2	2	1	2	0	1	1181
26	0	0	1	1	1	2	1	0	3	1	1	4	1	2	1	1	3	1	0	3	1061
27	0	2	1	1	1	2	0	0	0	5	1	3	8	4	3	1	0	3	2	0	806
28	0	0	1	4	1	1	2	2	0	3	2	2	2	2	4	2	1	1	2	0	849
29	0	2	1	2	0	2	3	2	1	4	1	1	3	1	2	3	0	1	0	4	893
30	0	0	2	2	1	1	1	0	2	2	2	0	0	3	2	3	3	2	2	3	892
31	0	0	0	1	0	3	2	2	0	1	2	2	1	4	9	0	2	2	2	2	855
32	0	0	2	2	1	1	3	1	1	5	4	1	2	2	3	1	1	2	2	3	870
33	0	1	2	1	0	2	0	2	1	2	1	11	1	2	3	2	1	2	1	0	814
34	0	2	0	3	1	1	0	0	1	0	0	0	1	1	2	3	3	2	4	1	971
35	0	0	0	3	0	2	0	3	0	3	3	3	3	1	2	3	2	1	1	3	1024
36	0	1	3	1	0	1	0	3	0	2	2	1	0	7	3	3	1	1	0	2	1095
37	0	0	0	3	2	8	1	1	1	3	1	5	3	1	2	5	0	2	3	1	1081
38	0	0	0	0	0	6	1	2	1	1	1	1	0	1	2	2	2	3	6	4	1045
39	0	0	0	0	1	4	2	2	1	3	0	3	0	3	2	2	1	3	2	3	1138
40	0	1	2	3	1	1	0	2	1	3	2	1	1	2	3	2	1	3	4	1	1154
41	0	0	5	2	2	0	1	3	0	0	1	2	1	0	0	1	0	1	4	2	949
42	0	0	1	0	1	4	2	2	1	3	3	0	0	2	1	1	0	2	2	3	960
43	0	0	1	1	1	3	1	0	0	0	1	2	0	0	2	3	3	2	3	2	1101
44	0	3	1	1	4	1	0	2	0	0	0	1	1	1	1	2	3	3	2	2	1081
45	0	1	0	1	3	2	1	1	0	3	3	0	5	5	2	2	4	2	2	3	1105
