	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108
7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	489
8	0	0	1	1	4	1	3	3	1	1	3	3	8	5	3	2	1	3	3	0	2983
9	0	1	5	10	8	7	8	5	10	11	12	14	18	15	11	22	19	10	20	17	12263
10	0	11	17	13	18	32	31	37	30	45	44	49	49	50	52	39	45	58	61	65	40394
11	0	27	36	47	42	59	64	63	83	101	83	80	104	92	107	109	91	109	119	97	75860
12	0	37	51	68	58	71	90	123	89	107	138	137	156	148	154	141	131	159	157	160	104378
13	0	44	66	75	92	97	95	121	151	139	132	136	148	141	179	190	158	168	184	177	122907
14	0	44	68	76	93	113	168	139	123	149	132	175	185	174	168	195	189	177	206	173	131337
15	0	59	76	98	114	115	124	143	145	141	151	186	180	174	175	211	200	216	206	202	137575
16	0	59	66	90	116	97	124	157	143	139	172	200	185	180	179	207	195	222	226	208	143843
17	0	41	68	109	111	113	111	158	148	148	174	168	195	183	211	210	210	235	237	194	153251
18	0	61	65	94	92	106	146	129	167	186	175	174	195	202	182	223	177	230	211	238	147675
19	0	49	68	85	86	120	152	158	156	161	168	183	204	226	224	217	212	238	212	236	146918
20	0	57	66	103	99	111	140	128	139	188	177	174	227	184	203	194	201	201	246	218	149755
21	0	64	86	106	104	150	106	144	167	178	179	185	191	207	220	229	240	223	206	248	151240
22	0	54	79	83	111	138	125	142	170	162	215	172	233	171	218	202	187	231	193	199	154504
23	0	42	86	101	101	142	119	162	160	167	173	198	199	209	225	198	222	235	249	231	152446
24	0	54	66	90	120	111	148	157	154	163	192	180	208	200	198	218	201	264	211	210	163988
25	0	49	85	120	108	137	143	148	179	163	198	165	205	209	220	204	236	212	224	254	156172
26	0	46	78	116	112	143	154	151	153	159	173	181	250	199	202	221	236	220	233	289	157853
27	0	50	70	119	133	130	166	177	174	205	190	182	210	200	227	226	251	226	242	251	161499
28	0	58	80	102	111	144	152	152	189	187	184	174	209	200	214	236	199	239	233	256	162072
29	0	81	71	95	116	118	147	147	148	179	155	205	168	245	226	215	254	247	253	267	164272
30	0	82	89	95	124	134	166	152	175	198	212	198	239	234	216	226	237	248	266	282	165491
31	0	63	82	96	127	154	137	146	193	189	177	190	196	225	220	226	238	268	232	267	164777
32	0	44	73	106	139	138	168	172	191	193	218	217	228	248	200	254	260	263	224	261	164165
33	0	56	95	86	119	148	160	128	145	157	199	196	202	230	245	200	237	238	238	224	165048
34	0	56	89	79	100	117	146	163	161	186	170	183	206	232	236	239	235	245	252	218	168117
35	0	56	83	102	108	118	142	156	195	184	189	193	227	221	174	229	214	263	249	242	162617
36	0	48	104	115	126	134	153	151	163	208	208	208	182	236	238	211	235	253	247	261	173391
37	0	72	99	79	132	113	148	170	190	200	171	180	194	232	212	225	268	238	227	255	168206
38	0	53	93	111	120	133	147	174	169	168	194	224	205	210	222	243	225	228	228	208	164959
39	0	50	90	94	123	137	144	145	185	198	170	194	220	232	225	250	236	234	260	246	164634
40	0	64	86	101	123	123	156	161	175	188	211	178	215	207	204	239	197	262	268	239	161231
41	0	53	67	107	102	139	133	155	177	163	194	186	207	221	195	183	222	233	235	259	160367
42	0	61	74	87	124	119	127	135	155	182	178	176	217	254	209	241	225	248	288	238	158029
43	0	64	80	90	111	153	154	169	161	166	182	196	227	226	205	219	246	248	238	231	161842
44	0	54	88	90	129	120	155	159	163	181	195	181	171	222	246	235	223	241	234	242	155603
45	0	49	69	99	107	136	136	150	148	191	178	180	202	176	232	223	201	246	239	228	157248
46	0	50	80	110	114	133	108	143	163	175	167	176	189	198	211	225	220	222	249	244	154329
47	0	67	67	109	103	116	130	158	185	167	205	169	193	195	222	214	231	227	239	225	151070
48	0	47	76	105	99	125	143	160	141	164	159	188	196	179	213	227	216	213	239	194	151546
49	0	53	74	87	107	108	123	134	153	168	157	182	161	198	187	217	201	234	189	192	148202
50	0	58	68	93	99	100	126	113	143	141	176	167	194	184	221	204	224	187	207	236	140491
51	0	36	64	79	95	118	127	130	140	131	165	157	158	175	195	170	179	191	228	216	137405
52	0	55	73	76	105	116	129	152	139	167	193	166	161	157	174	224	190	251	196	219	135674
53	0	59	70	95	91	99	124	130	131	156	152	163	165	174	165	169	174	235	164	195	131430
54	0	50	65	78	85	113	152	135	155	134	129	156	166	160	167	183	197	202	164	203	130560
55	0	43	52	71	98	91	118	114	130	151	126	153	148	182	184	149	187	189	190	154	125701
56	0	41	61	81	83	104	99	108	128	119	130	123	146	156	181	192	180	174	149	173	120925
57	0	50	68	74	66	100	90	143	109	127	123	146	149	163	155	154	165	167	178	186	118069
58	0	32	54	80	76	103	95	110	122	147	142	135	140	164	169	158	156	169	149	193	114968
59	0	32	52	59	79	100	97	100	123	130	139	128	158	133	165	155	141	145	154	182	119121
60	0	36	49	59	78	92	94	97	132	126	117	128	145	156	125	133	148	166	145	138	110743
61	0	41	48	69	81	91	95	101	111	102	115	110	108	123	123	146	157	158	156	171	104651
62	0	32	43	60	70	83	77	83	87	102	105	116	126	161	148	118	116	144	168	134	97178
63	0	26	43	58	55	68	85	81	100	90	103	112	110	119	114	136	129	152	136	132	90656
64	0	31	51	37	51	69	79	72	90	81	100	94	102	96	101	109	98	111	105	118	75489
65	0	21	30	29	31	39	47	47	53	46	61	64	75	70	77	74	73	87	86	84	55124
66	0	9	14	15	20	20	26	26	32	29	37	23	29	32	37	48	46	39	38	50	31628
67	0	1	5	4	5	8	7	8	11	10	12	8	13	10	12	14	16	13	6	13	10438
68	0	0	0	2	2	4	0	1	4	4	3	6	6	3	3	0	3	4	5	6	3100
69	0	1	1	0	1	2	0	0	0	0	1	0	0	2	0	1	1	1	1	1	832
70	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	171
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
