	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	29	43	53	51	72	65	58	74	88	79	78	89	83	86	84	81	85	79	56655
2	0	0	37	77	88	94	104	120	109	156	139	131	137	145	164	152	137	138	134	165	108991
3	0	0	66	121	163	150	141	168	184	184	165	218	206	219	212	224	223	260	238	232	153292
4	0	0	73	149	147	186	199	196	220	219	209	217	229	255	255	216	254	241	265	266	170172
5	0	0	69	140	148	198	179	213	235	206	242	260	223	223	290	294	278	259	242	272	175696
6	0	0	83	110	174	182	211	228	229	225	232	252	254	228	245	246	246	275	265	287	176504
7	0	0	81	132	155	185	204	201	185	225	225	230	252	269	278	278	293	265	298	261	178196
8	0	1	86	142	144	175	191	202	235	228	250	259	228	270	264	273	278	283	283	294	179405
9	0	1	77	151	165	187	178	210	203	242	267	271	227	248	268	306	275	294	272	272	179865
10	0	4	95	147	188	169	217	224	259	227	224	236	244	266	275	227	261	261	246	278	180137
11	0	7	89	142	157	174	199	186	203	207	235	275	210	243	271	253	278	286	252	288	181605
12	0	6	89	163	161	201	185	228	214	230	249	271	221	259	257	274	280	253	265	255	181051
13	0	59	135	139	176	218	216	218	211	226	298	283	241	264	270	266	270	301	275	305	180569
14	0	77	137	159	192	194	186	222	253	240	239	246	243	299	291	320	303	286	234	272	183032
15	0	83	137	146	204	210	239	188	236	208	246	273	251	282	297	294	278	312	298	261	183160
16	0	63	136	152	193	220	208	196	240	240	259	260	264	274	271	268	250	311	255	282	182266
17	0	60	132	156	155	210	210	247	245	251	255	258	260	274	265	259	276	264	269	266	182070
18	0	81	129	142	172	208	214	211	227	247	265	261	253	282	280	287	257	271	287	295	183023
19	0	71	117	131	177	192	217	252	205	256	250	280	234	283	297	310	248	269	290	325	183071
20	0	73	113	155	189	231	202	225	236	227	253	262	261	279	283	299	263	296	293	307	184394
21	0	71	145	180	197	195	209	216	229	253	252	257	257	259	277	260	262	305	267	275	182621
22	0	86	100	157	161	186	189	217	242	257	232	226	267	269	278	287	290	277	262	301	181919
23	0	60	118	169	145	205	238	212	245	216	285	273	225	244	264	271	268	273	283	254	185365
24	0	86	131	151	180	193	195	204	207	226	265	261	232	297	292	268	281	272	285	302	186894
25	0	86	102	151	192	186	207	200	236	248	257	285	240	271	254	256	289	271	310	267	181610
26	0	71	111	159	186	212	202	213	221	234	256	230	260	295	272	289	310	255	289	309	180718
27	0	78	125	149	167	172	221	215	221	244	252	259	236	266	276	260	275	297	253	264	181227
28	0	96	116	160	195	207	205	226	235	247	260	269	245	258	259	271	255	278	272	296	182100
29	0	76	132	148	144	174	174	213	261	252	255	227	245	281	278	305	263	277	286	272	181590
30	0	73	133	147	182	176	227	214	240	230	236	258	268	283	296	277	285	314	263	304	184048
31	0	62	122	146	162	207	204	228	233	234	244	262	230	235	267	257	276	328	254	252	182977
32	0	66	121	152	194	186	163	213	242	257	264	240	271	262	301	268	261	277	280	275	181772
33	0	92	135	169	163	206	233	223	227	233	241	287	237	272	274	269	274	290	240	300	185597
34	0	65	116	139	185	204	192	217	232	258	209	268	267	291	285	282	306	283	271	247	184015
35	0	84	129	163	164	207	218	223	219	227	259	280	261	260	309	290	287	264	271	303	185054
36	0	80	128	143	173	171	202	225	218	229	271	286	216	259	286	306	297	285	288	292	184559
37	0	81	128	164	155	209	198	175	230	208	240	250	235	266	244	259	266	249	254	303	182724
38	0	67	110	151	169	177	220	237	219	256	240	232	283	269	261	254	255	278	268	290	184357
39	0	86	145	174	161	234	219	201	237	242	254	238	243	262	277	275	287	278	338	321	184257
40	0	75	149	137	201	184	200	207	246	251	235	241	219	286	243	287	296	303	289	281	187534
41	0	90	124	146	176	214	219	219	255	249	246	279	246	284	248	270	293	270	269	291	183407
42	0	76	135	149	168	224	219	229	215	236	258	286	275	270	265	285	278	295	299	269	185259
43	0	75	117	149	205	202	185	209	230	263	229	256	254	300	295	273	276	343	265	271	184954
44	0	75	121	152	138	193	213	213	205	240	253	265	257	257	255	296	298	297	267	285	183914
45	0	68	130	164	176	187	223	219	241	238	250	270	257	285	264	318	284	264	289	285	184527
46	0	70	130	138	189	188	237	208	244	259	245	246	244	255	284	260	268	283	281	304	183365
47	0	88	111	172	201	167	205	194	231	260	233	293	234	281	276	288	296	295	302	279	179102
48	0	69	125	128	163	198	206	210	205	244	261	268	269	273	265	313	265	270	276	300	177828
49	0	67	110	145	166	193	181	220	182	227	229	253	259	255	275	254	282	251	240	291	174497
50	0	83	124	149	176	179	203	203	226	222	233	252	234	309	226	277	260	270	235	249	177011
