	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	22	20	30	29	40	39	31	38	60	55	51	77	54	67	51	64	60	81	84	41772
21	0	23	30	27	41	44	37	45	54	59	65	57	57	66	81	91	74	71	69	66	42613
22	0	16	30	22	29	48	30	41	53	50	70	51	67	53	70	61	59	64	59	75	45188
23	0	14	29	34	32	34	38	45	52	63	57	52	56	55	69	68	60	72	61	87	43645
24	0	14	26	24	39	33	48	63	44	62	72	58	82	62	63	64	75	75	69	65	53248
25	0	14	26	34	43	40	43	54	52	61	79	40	78	50	67	63	75	75	63	72	44839
26	0	14	24	46	44	45	51	49	40	46	54	61	94	68	62	87	80	69	73	105	44913
27	0	14	29	50	47	49	51	55	49	67	60	62	63	61	75	81	87	66	69	74	45934
28	0	14	26	41	37	42	46	41	71	53	63	57	62	55	61	63	62	81	80	72	46378
29	0	25	21	22	43	52	45	48	47	50	48	67	59	77	53	67	74	86	71	99	47426
30	0	27	29	31	46	39	55	48	53	66	75	46	66	64	61	74	60	73	68	98	45814
31	0	19	34	27	24	51	54	47	58	45	49	57	60	69	79	64	75	94	71	61	45247
32	0	22	26	28	35	44	53	55	55	67	64	86	71	96	62	81	104	83	79	65	44699
33	0	21	29	28	40	45	47	33	50	60	66	57	51	65	62	55	75	66	67	72	43328
34	0	15	22	27	24	36	34	57	44	54	55	55	46	72	74	83	71	64	76	55	42588
35	0	14	21	25	31	27	36	40	47	62	54	54	55	63	42	57	55	54	73	58	37381
36	0	13	24	13	34	22	35	23	36	41	52	50	40	38	53	41	53	52	52	56	31827
37	0	9	17	7	20	15	25	27	27	20	34	27	20	26	33	20	34	29	25	40	19852
38	0	0	9	4	4	6	7	2	12	11	15	10	10	6	14	14	8	14	10	16	9161
39	0	1	3	5	4	5	8	5	5	7	7	12	10	5	11	6	6	8	15	5	5023
40	0	2	0	2	0	3	7	3	3	2	5	2	3	4	3	6	5	4	1	8	2526
41	0	2	1	0	1	8	3	3	2	3	2	0	1	2	3	3	4	2	4	3	1706
42	0	0	4	0	0	1	0	0	1	1	3	0	0	2	2	0	2	1	0	3	1081
43	0	1	1	1	3	0	0	0	0	1	3	0	1	2	2	1	2	4	5	4	828
44	0	2	0	0	0	2	1	0	0	0	0	3	2	1	0	2	1	0	2	4	638
45	0	0	0	0	1	1	1	0	0	0	3	0	0	0	0	1	0	0	3	1	520
46	0	0	0	1	0	1	0	0	0	2	2	1	1	0	0	4	0	0	0	0	403
47	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	322
48	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	309
49	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	224
50	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	182
51	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	134
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	108
53	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	70
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	19
56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
