	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	24
9	0	23	24	50	49	42	62	63	66	82	85	80	75	83	90	92	93	82	84	88	76251
10	0	46	61	79	113	123	123	123	168	123	131	148	144	145	169	119	178	155	170	152	127402
11	0	56	83	117	118	126	135	138	157	152	162	197	157	178	194	210	203	220	189	236	151067
12	0	69	104	157	139	172	163	195	176	199	232	222	187	239	221	228	263	223	241	272	163576
13	0	60	133	129	155	207	204	198	181	206	260	258	210	236	255	244	262	277	251	280	169244
14	0	74	131	141	186	183	183	206	229	223	217	234	225	288	275	307	282	270	228	256	175002
15	0	84	139	139	190	199	228	181	221	200	238	264	244	268	288	268	275	291	281	258	178315
16	0	72	133	150	198	222	198	187	232	234	256	253	250	263	268	269	240	307	254	269	179165
17	0	64	128	158	158	208	204	240	242	253	263	252	257	270	269	246	271	265	267	260	180525
18	0	86	130	141	171	212	208	204	229	242	259	263	250	289	279	287	254	270	285	294	181915
19	0	75	118	129	188	187	215	247	207	251	255	280	231	283	298	302	260	272	293	331	182975
20	0	76	113	153	192	228	199	232	232	226	263	267	260	281	283	295	255	295	297	294	184431
21	0	76	145	177	200	197	207	212	230	258	256	260	259	265	276	265	262	309	270	272	183539
22	0	86	106	157	160	188	193	228	245	267	238	229	269	273	279	292	291	283	265	292	183180
23	0	68	121	170	149	204	248	214	256	215	290	277	226	243	273	277	274	277	288	259	187221
24	0	100	129	146	183	200	206	216	216	236	266	273	233	309	298	272	285	268	290	311	189107
25	0	94	108	158	200	190	219	204	245	252	263	285	246	279	262	262	296	273	321	295	184043
26	0	79	118	169	189	213	204	218	222	240	266	240	275	304	283	303	326	263	298	310	184928
27	0	80	127	158	177	183	220	219	219	251	271	265	232	277	281	260	283	293	265	268	185397
28	0	103	123	165	192	212	213	235	241	249	263	275	251	273	267	276	265	282	280	297	185203
29	0	84	134	150	154	177	176	217	269	260	260	236	243	280	297	309	266	270	293	274	184363
30	0	81	135	144	189	180	231	222	240	235	242	270	275	295	299	285	289	311	274	310	185870
31	0	72	124	154	171	207	208	227	242	232	248	266	235	248	271	255	281	330	255	255	185235
32	0	69	126	157	205	192	166	215	243	260	270	246	271	270	302	277	268	280	271	281	183805
33	0	97	136	176	166	206	237	230	234	233	245	296	236	266	280	272	281	294	236	303	188073
34	0	69	121	138	181	195	195	228	234	261	219	272	273	297	291	284	312	267	273	250	186560
35	0	91	134	167	170	203	230	216	225	231	262	280	267	265	310	291	295	266	281	305	187314
36	0	90	132	150	168	175	209	237	219	230	274	284	219	260	290	306	297	292	297	294	187122
37	0	87	132	169	157	213	198	185	232	209	245	260	243	268	254	261	271	258	252	310	184933
38	0	75	118	155	174	175	220	248	222	262	244	235	293	275	269	253	260	283	269	288	186499
39	0	90	151	172	163	238	224	204	237	240	268	235	248	263	283	283	283	277	346	313	186090
40	0	80	152	142	197	181	204	215	248	252	238	239	224	293	250	293	309	302	292	287	189424
41	0	99	127	149	174	217	223	229	264	259	247	290	253	293	258	278	294	274	271	297	185543
42	0	91	140	156	168	227	225	231	219	243	259	298	278	271	282	288	283	297	308	272	187367
43	0	91	122	157	206	197	183	213	237	265	240	256	258	295	306	276	284	347	262	278	186849
44	0	83	123	160	145	200	221	220	211	243	257	274	259	257	262	294	299	294	270	284	186132
45	0	73	133	171	184	193	226	230	250	245	252	275	268	293	267	315	287	267	286	277	186754
46	0	76	135	142	199	194	241	214	248	263	250	253	247	258	291	268	287	288	284	310	186594
47	0	97	117	177	210	178	211	208	239	267	244	303	240	288	287	295	307	312	304	288	184654
48	0	78	136	134	176	201	215	226	218	246	264	280	282	288	275	332	272	280	293	320	186212
49	0	69	121	148	168	204	201	231	194	237	241	264	271	273	287	270	283	260	254	308	184500
50	0	86	126	161	179	193	209	216	249	230	240	273	243	311	248	287	271	285	242	270	185660
51	0	97	103	159	172	184	226	207	233	222	248	259	281	276	300	287	247	284	308	281	185438
52	0	107	131	154	188	178	209	196	232	258	266	286	232	273	301	266	322	304	268	294	189518
53	0	79	127	144	189	228	232	210	200	266	247	231	228	255	267	274	297	262	298	289	188148
54	0	82	111	160	186	204	220	211	279	246	259	248	286	262	278	289	268	286	340	256	183521
55	0	81	105	147	174	201	174	233	247	255	220	262	236	251	272	303	338	270	316	273	183439
56	0	73	126	149	194	161	198	208	200	217	238	259	263	263	321	285	293	275	268	258	184471
57	0	69	134	144	177	187	198	187	229	227	222	264	224	250	291	261	275	286	292	277	184256
58	0	67	112	128	185	173	205	238	226	238	242	258	217	239	307	270	271	297	279	293	182543
59	0	83	123	139	146	197	214	233	228	217	215	221	247	257	247	282	243	300	291	289	181498
60	0	65	110	137	184	178	191	193	220	208	208	274	232	234	278	282	288	247	258	266	178549
61	0	75	113	148	156	166	162	219	202	236	212	231	234	268	230	253	263	256	250	261	175148
62	0	67	109	164	186	154	173	188	174	203	220	238	213	263	249	264	239	258	214	270	166841
63	0	76	103	145	133	181	199	192	169	199	233	217	238	262	260	269	245	262	224	259	164161
64	0	57	98	122	132	143	166	180	162	190	180	210	187	232	212	225	235	250	223	223	156796
65	0	60	100	93	122	135	145	169	160	169	165	166	168	183	185	177	190	208	213	213	143913
66	0	41	65	102	95	110	116	123	127	121	133	127	135	164	185	135	162	176	156	139	122182
67	0	33	35	50	51	60	69	60	66	96	59	78	81	80	89	91	95	76	87	96	79618
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
