	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
1	0	0	3	5	10	19	43	65	78	83	71	89	79	95	99	106	122	116	135	124	140556
2	0	0	8	30	28	38	59	91	75	122	114	98	92	127	148	118	123	141	126	149	148860
3	0	0	15	39	81	74	82	103	119	143	110	157	153	160	162	165	178	206	185	189	158502
4	0	0	27	72	93	124	139	134	180	170	174	173	178	215	213	188	208	191	214	228	163290
5	0	0	36	80	96	141	150	174	213	178	216	228	185	199	266	253	236	234	222	232	166190
6	0	1	43	76	130	155	180	194	193	188	207	226	231	211	220	218	219	236	233	266	165005
7	0	0	38	93	124	164	175	175	162	195	213	205	235	244	256	251	268	237	274	235	165827
8	0	0	48	91	104	150	160	180	210	203	225	225	204	242	262	250	250	257	258	259	166197
9	0	0	41	102	120	145	145	185	186	210	246	243	192	225	245	263	247	257	239	247	165438
10	0	0	41	96	154	144	181	184	220	210	206	207	220	237	257	209	234	213	222	251	165083
11	0	1	49	84	121	138	163	159	178	191	209	251	188	210	229	232	241	248	216	262	165338
12	0	2	47	105	114	158	164	198	187	201	218	242	203	245	237	248	260	225	243	226	165163
13	0	0	51	73	127	166	178	192	175	199	236	237	221	212	255	243	235	266	240	268	164714
14	0	0	53	94	135	150	162	183	226	215	205	205	220	256	262	273	260	259	209	239	165649
15	0	0	55	93	146	158	187	163	201	194	209	232	227	225	254	247	244	274	232	227	165123
16	0	0	49	95	142	176	158	163	212	204	220	218	232	238	234	244	218	278	234	248	165088
17	0	5	52	102	120	169	180	200	214	202	214	236	230	249	229	244	241	243	240	233	165148
18	0	5	43	72	121	162	170	184	188	205	232	232	225	230	235	242	227	245	245	265	164882
19	0	12	58	92	141	150	184	210	187	227	217	247	215	249	268	268	235	241	261	288	165350
20	0	32	82	115	158	192	169	200	198	204	226	226	227	251	261	269	237	273	252	275	166314
21	0	40	112	149	165	170	185	198	201	226	225	227	231	237	256	243	233	278	246	245	165470
22	0	65	88	142	139	170	170	195	214	230	207	215	245	248	253	260	261	250	231	263	164637
23	0	53	104	151	126	190	225	187	213	201	255	255	201	222	247	241	246	251	267	233	168320
24	0	67	110	140	160	173	175	185	195	210	241	244	206	262	269	254	260	251	262	285	170342
25	0	76	93	138	171	173	192	180	210	236	235	261	212	248	233	238	274	243	278	225	165087
26	0	59	101	143	158	191	181	191	195	223	235	216	249	274	253	265	276	239	273	279	165316
27	0	63	107	142	160	157	191	199	208	222	237	230	206	241	257	223	257	268	231	240	165677
28	0	81	102	146	183	189	187	207	224	225	245	242	213	244	244	253	230	259	254	265	165587
29	0	64	123	129	124	151	153	198	239	234	225	209	219	251	254	274	245	251	257	253	164731
30	0	60	118	125	166	164	200	196	207	206	215	228	243	264	274	256	257	283	239	274	166384
31	0	55	109	127	151	191	177	209	219	217	224	239	199	216	248	236	253	303	231	228	165735
32	0	59	106	144	179	173	154	191	223	238	243	223	231	236	262	238	234	259	254	244	164614
33	0	72	112	162	153	181	207	203	211	213	227	269	212	230	251	246	256	257	210	269	168474
34	0	49	108	128	165	171	167	193	212	239	195	243	240	261	268	252	283	262	249	225	167118
35	0	73	115	142	155	185	205	192	203	201	225	245	245	234	281	263	261	234	240	274	167861
36	0	70	116	132	142	156	178	209	204	216	235	258	186	224	253	279	257	268	265	269	167514
37	0	70	117	153	137	183	179	159	212	192	218	218	216	243	225	248	234	228	232	271	165696
38	0	55	103	142	150	155	193	215	200	231	219	215	256	233	251	241	230	259	236	273	167279
39	0	81	129	153	146	213	188	177	211	216	228	211	215	237	253	243	258	245	314	288	166902
40	0	63	125	128	180	164	183	191	222	226	222	216	207	246	229	268	254	267	265	252	169294
41	0	71	101	132	157	193	185	192	230	226	217	257	220	263	234	245	277	248	237	261	166189
42	0	62	121	136	148	198	200	205	185	206	228	263	252	249	250	259	255	269	260	235	167694
43	0	63	104	129	184	180	159	183	214	238	210	240	225	264	269	253	250	322	246	255	167343
44	0	61	100	136	126	178	196	197	184	218	238	241	241	229	241	275	271	272	245	254	166597
45	0	58	114	144	150	166	192	202	219	215	228	235	232	249	239	289	250	237	260	260	167493
46	0	55	103	123	166	173	213	197	227	225	222	221	209	237	265	237	254	259	258	285	167575
47	0	72	99	159	186	153	193	171	226	230	219	266	215	256	254	262	280	281	261	264	165352
48	0	60	112	119	152	180	186	204	201	219	249	252	242	250	247	284	248	255	255	290	166855
49	0	60	103	138	149	184	169	214	172	215	218	241	240	244	263	248	262	237	235	277	165932
50	0	67	108	142	154	172	187	183	209	213	216	244	216	273	222	267	251	254	222	243	166922
51	0	69	81	131	152	165	200	182	223	204	225	232	244	252	275	259	220	256	276	268	167095
52	0	91	114	137	167	163	194	182	219	231	241	258	216	249	270	253	305	279	246	278	171976
53	0	66	111	124	164	212	211	187	180	233	226	213	218	235	243	241	278	244	275	268	171404
54	0	47	88	138	156	177	195	196	259	219	242	234	264	239	260	266	246	261	309	241	166874
55	0	34	75	119	142	171	159	201	218	231	198	246	219	229	242	268	293	246	294	258	168012
56	0	24	67	111	151	128	164	185	185	207	221	229	235	253	303	267	273	250	247	235	169187
57	0	9	54	101	135	146	170	170	206	208	211	222	207	240	277	243	259	268	277	262	171500
58	0	2	50	84	141	142	186	220	216	212	226	231	195	224	285	256	253	266	264	277	169561
59	0	1	52	92	106	159	186	218	206	203	208	209	233	241	226	252	237	288	279	270	170164
60	0	0	42	95	153	150	164	171	212	205	202	246	219	232	266	260	290	243	249	265	170899
61	0	0	50	104	121	143	154	201	194	217	209	236	245	277	222	239	256	247	245	267	171144
62	0	0	43	123	153	134	161	182	186	220	235	243	211	245	250	263	250	270	226	281	167313
63	0	0	52	104	116	167	186	198	187	214	246	230	252	273	262	274	267	277	262	279	170848
64	0	0	44	86	115	159	187	201	193	211	224	239	217	258	246	249	252	271	265	245	170444
65	0	0	65	77	125	161	172	202	199	215	224	240	237	246	258	246	257	279	273	293	170288
66	0	1	41	94	135	159	182	186	200	204	221	215	225	271	284	232	252	278	274	243	170020
67	0	0	47	103	142	167	180	190	232	222	217	200	202	240	245	270	246	269	250	278	177822
68	0	0	54	95	125	145	179	165	180	213	215	235	241	257	286	240	264	245	243	273	172149
69	0	0	41	100	138	168	190	209	211	190	212	254	226	252	234	275	226	254	266	281	170725
70	0	0	41	94	139	154	160	207	198	205	202	264	233	241	242	246	267	234	258	254	175435
71	0	0	34	90	114	153	157	171	186	171	207	219	219	216	211	232	275	249	265	247	173468
72	0	0	52	71	114	141	148	142	178	213	198	240	155	212	212	239	212	254	266	262	167989
73	0	1	22	52	84	102	116	137	137	165	169	180	177	191	191	191	205	189	204	199	167019
74	0	0	15	30	54	67	114	119	99	133	148	121	135	138	156	185	142	197	162	188	156972
75	0	0	9	21	33	57	50	82	98	117	98	121	108	133	144	137	131	163	155	166	151516
