intron	mm	del	ins
147207	445157	0	0
147946	402295	0	0
150306	368909	0	0
150107	370289	20076	0
147522	340178	57771	98060
145670	324051	34110	90695
144577	334402	33579	84045
140699	334370	31673	80859
140290	346859	32563	77337
140042	338479	32285	71811
138540	350923	36067	68460
137100	332577	32441	65913
136879	348563	35053	62871
137112	333482	36077	61765
136449	350823	32304	59285
137160	348251	32398	58215
136741	353006	33774	58324
136690	353353	35747	59607
135457	367420	42253	60191
136304	358956	45000	64800
136131	366217	36090	70199
137408	413813	45973	54881
135119	409990	40016	60180
143258	408373	40470	63256
136193	399185	40033	62192
135749	392861	40117	62876
136924	398836	38616	61602
136865	406300	37196	92787
137972	425162	37783	55054
138135	422804	48525	67760
137754	428587	35479	62200
137723	441002	34486	62571
138000	455735	34967	58868
141650	458580	34653	59647
137759	495863	33855	57830
147004	498150	33566	58971
141590	525847	32450	58273
138319	534160	32750	58273
138866	575157	32200	58715
138089	520447	33397	57482
138434	510045	34387	58284
136916	533237	35033	58618
143743	541035	35420	60025
136971	563465	39170	63150
138636	560806	44807	68825
137956	574776	34551	74323
137657	612156	37203	57524
140418	613204	42866	61782
139833	641293	39584	63469
137561	636548	40440	63176
137513	667480	40448	63409
140890	677312	39693	64004
137149	702795	40580	60558
141043	737565	35464	59595
140635	743709	45395	76429
138570	765283	39625	72273
139776	751870	43597	67634
140269	770122	35378	59713
150387	809911	34552	59868
142739	835484	38858	61407
141751	866744	33445	59729
140695	911762	33915	62210
143047	956586	32966	65465
144181	993730	32389	69427
146343	1033383	33223	67969
147101	1029292	32694	68326
146224	1077193	33837	71840
147369	1067870	36497	75271
152255	1093490	39521	78924
164449	1120603	36617	86451
155956	1200588	52540	92253
158419	1236202	16842	88287
157434	1340649	0	0
156987	1346155	0	0
156217	1455354	0	0
0	2460840	0	0
