id	valid	count
chr1	TRUE	21652400
chr10	TRUE	6896713
chr11	TRUE	14402518
chr11_gl000202_random	TRUE	5
chr12	TRUE	11919049
chr13	TRUE	2296947
chr14	TRUE	4206195
chr15	TRUE	6289062
chr16	TRUE	6644316
chr17	TRUE	8793140
chr17_gl000203_random	TRUE	4013
chr17_gl000204_random	TRUE	3
chr17_gl000205_random	TRUE	81403
chr17_gl000206_random	TRUE	0
chr18	TRUE	2583454
chr18_gl000207_random	TRUE	0
chr19	TRUE	7179691
chr19_gl000208_random	TRUE	22
chr19_gl000209_random	TRUE	5
chr1_gl000191_random	TRUE	82351
chr1_gl000192_random	TRUE	39307
chr2	TRUE	11751093
chr20	TRUE	3598062
chr21	TRUE	3785927
chr21_gl000210_random	TRUE	1
chr22	TRUE	4280101
chr3	TRUE	9527781
chr4	TRUE	5867041
chr4_gl000193_random	TRUE	16170
chr4_gl000194_random	TRUE	34778
chr5	TRUE	9298958
chr6	TRUE	12226884
chr7	TRUE	10785106
chr7_gl000195_random	TRUE	157280
chr8	TRUE	5410262
chr8_gl000196_random	TRUE	1834
chr8_gl000197_random	TRUE	0
chr9	TRUE	8098650
chr9_gl000198_random	TRUE	6547
chr9_gl000199_random	TRUE	223
chr9_gl000200_random	TRUE	376
chr9_gl000201_random	TRUE	0
chrM	TRUE	14503353
chrUn_gl000211	TRUE	7649
chrUn_gl000212	TRUE	26188
chrUn_gl000213	TRUE	482
chrUn_gl000214	TRUE	164725
chrUn_gl000215	TRUE	745
chrUn_gl000216	TRUE	85
chrUn_gl000217	TRUE	194
chrUn_gl000218	TRUE	45614
chrUn_gl000219	TRUE	23428
chrUn_gl000220	TRUE	3712787
chrUn_gl000221	TRUE	19711
chrUn_gl000222	TRUE	6141
chrUn_gl000223	TRUE	14310
chrUn_gl000224	TRUE	27587
chrUn_gl000225	TRUE	47
chrUn_gl000226	TRUE	328
chrUn_gl000227	TRUE	5206
chrUn_gl000228	TRUE	520
chrUn_gl000229	TRUE	148
chrUn_gl000230	TRUE	38
chrUn_gl000231	TRUE	26
chrUn_gl000232	TRUE	22
chrUn_gl000233	TRUE	281
chrUn_gl000234	TRUE	4
chrUn_gl000235	TRUE	20
chrUn_gl000236	TRUE	17
chrUn_gl000237	TRUE	315
chrUn_gl000238	TRUE	150
chrUn_gl000239	TRUE	200
chrUn_gl000240	TRUE	1730
chrUn_gl000241	TRUE	10066
chrUn_gl000242	TRUE	8
chrUn_gl000243	TRUE	3875
chrUn_gl000244	TRUE	70
chrUn_gl000245	TRUE	147
chrUn_gl000246	TRUE	4119
chrUn_gl000247	TRUE	11782
chrUn_gl000248	TRUE	3
chrUn_gl000249	TRUE	8017
chrX	TRUE	7424933
chrY	TRUE	133358
