intron	mm	del	ins
0	0	0	0
0	0	0	0
0	0	0	0
0	227817	0	0
0	230677	5547	0
0	232493	6518	4821
0	251860	6817	5644
0	257646	9667	5756
0	270817	9943	8787
0	265329	9390	10271
0	275534	9842	10544
0	256585	10661	11288
0	268792	10273	11977
0	259992	10809	12805
0	269691	10729	13434
0	275784	11588	15730
0	284165	11573	15592
0	283739	11373	15327
0	297973	11289	15108
150127	291486	12053	15204
153169	291085	11683	18893
158516	336534	11738	20364
156463	334635	11253	21792
156540	337300	13193	22795
155536	330507	11574	23682
157062	320330	11741	25394
156016	321054	11771	26170
156808	333500	11735	27326
157314	345197	12508	27718
157860	349990	11728	27874
156188	351496	11768	27908
155828	363525	13408	27470
154349	378961	12272	27839
148209	376245	11611	27688
136228	410191	11915	27499
103744	422422	12853	27040
46195	438805	13137	26383
13771	452819	11608	24602
5999	452467	12258	22046
3713	432686	11287	20786
2648	423329	11573	19884
2174	440615	11656	19018
1744	444520	11507	18704
1594	466022	11094	19644
1229	458930	11373	18860
1007	469048	11558	17820
840	497614	10902	17213
639	497369	11581	18232
331	522051	11716	16345
183	522158	11763	15659
159	541538	11160	15814
115	549231	11151	15386
79	566350	10865	15546
44	595139	10752	15026
34	600638	11083	15219
3	620940	11200	15054
0	621011	10470	14650
0	633317	10543	14503
0	661891	10667	14482
0	683255	10896	13793
0	705787	10696	13173
0	734268	10228	13146
0	764711	10498	12932
0	792245	9943	12432
0	817147	10146	10901
0	813082	9349	10369
0	842149	8670	10459
0	827664	8338	8078
0	834309	7169	5430
0	850083	6178	5514
0	819999	5848	5162
0	815137	0	0
0	822598	0	0
0	0	0	0
0	0	0	0
0	0	0	0
