id	valid	count
chr1	TRUE	8052314
chr10	TRUE	3766893
chr11	TRUE	6620177
chr12	TRUE	3466296
chr13	TRUE	3495437
chr13_random	TRUE	22567
chr14	TRUE	3226708
chr15	TRUE	3437807
chr16	TRUE	5132352
chr16_random	TRUE	2
chr17	TRUE	18814402
chr17_random	TRUE	12301
chr18	TRUE	3021676
chr19	TRUE	2446841
chr1_random	TRUE	18902
chr2	TRUE	7504196
chr3	TRUE	4772358
chr3_random	TRUE	71
chr4	TRUE	4280617
chr4_random	TRUE	4428
chr5	TRUE	4856890
chr5_random	TRUE	1163
chr6	TRUE	5236775
chr7	TRUE	4950221
chr7_random	TRUE	208
chr8	TRUE	4063981
chr8_random	TRUE	6842
chr9	TRUE	7099696
chr9_random	TRUE	8618
chrM	TRUE	4460139
chrUn_random	TRUE	31480
chrX	TRUE	3111837
chrX_random	TRUE	7409
chrY	TRUE	669
chrY_random	TRUE	4672
