id	valid	count
chr1	TRUE	12050384
chr10	TRUE	4096588
chr11	TRUE	4233116
chr11_gl000202_random	TRUE	3
chr12	TRUE	4330916
chr13	TRUE	1106721
chr14	TRUE	2238849
chr15	TRUE	3035119
chr16	TRUE	3290623
chr17	TRUE	4996276
chr17_gl000203_random	TRUE	1
chr17_gl000204_random	TRUE	8
chr17_gl000205_random	TRUE	447
chr17_gl000206_random	TRUE	1
chr18	TRUE	676836
chr18_gl000207_random	TRUE	0
chr19	TRUE	5059917
chr19_gl000208_random	TRUE	193
chr19_gl000209_random	TRUE	73
chr1_gl000191_random	TRUE	19944
chr1_gl000192_random	TRUE	28487
chr2	TRUE	5570783
chr20	TRUE	1801289
chr21	TRUE	1380204
chr21_gl000210_random	TRUE	4
chr22	TRUE	2408404
chr3	TRUE	5788452
chr4	TRUE	3289770
chr4_gl000193_random	TRUE	43
chr4_gl000194_random	TRUE	2761
chr5	TRUE	3457072
chr6	TRUE	3772190
chr7	TRUE	4777771
chr7_gl000195_random	TRUE	22
chr8	TRUE	1646023
chr8_gl000196_random	TRUE	79
chr8_gl000197_random	TRUE	20
chr9	TRUE	4080131
chr9_gl000198_random	TRUE	66
chr9_gl000199_random	TRUE	0
chr9_gl000200_random	TRUE	654
chr9_gl000201_random	TRUE	60
chrM	TRUE	6526574
chrUn_gl000211	TRUE	12255
chrUn_gl000212	TRUE	2274
chrUn_gl000213	TRUE	48
chrUn_gl000214	TRUE	83
chrUn_gl000215	TRUE	69
chrUn_gl000216	TRUE	22
chrUn_gl000217	TRUE	137
chrUn_gl000218	TRUE	2809
chrUn_gl000219	TRUE	730
chrUn_gl000220	TRUE	1035
chrUn_gl000221	TRUE	199
chrUn_gl000222	TRUE	820
chrUn_gl000223	TRUE	14704
chrUn_gl000224	TRUE	88
chrUn_gl000225	TRUE	28
chrUn_gl000226	TRUE	0
chrUn_gl000227	TRUE	783
chrUn_gl000228	TRUE	78
chrUn_gl000229	TRUE	4
chrUn_gl000230	TRUE	3
chrUn_gl000231	TRUE	3
chrUn_gl000232	TRUE	23
chrUn_gl000233	TRUE	40
chrUn_gl000234	TRUE	34
chrUn_gl000235	TRUE	38
chrUn_gl000236	TRUE	147
chrUn_gl000237	TRUE	45
chrUn_gl000238	TRUE	84
chrUn_gl000239	TRUE	49
chrUn_gl000240	TRUE	127
chrUn_gl000241	TRUE	147
chrUn_gl000242	TRUE	5761
chrUn_gl000243	TRUE	100
chrUn_gl000244	TRUE	19
chrUn_gl000245	TRUE	6
chrUn_gl000246	TRUE	83
chrUn_gl000247	TRUE	359
chrUn_gl000248	TRUE	10
chrUn_gl000249	TRUE	1753
chrX	TRUE	2226666
chrY	TRUE	90779
