id	valid	count
chr1	TRUE	9347019
chr10	TRUE	3881698
chr11	TRUE	4061035
chr11_gl000202_random	TRUE	0
chr12	TRUE	4486674
chr13	TRUE	1032063
chr14	TRUE	2142252
chr15	TRUE	2922975
chr16	TRUE	2987078
chr17	TRUE	4817481
chr17_gl000203_random	TRUE	0
chr17_gl000204_random	TRUE	0
chr17_gl000205_random	TRUE	480
chr17_gl000206_random	TRUE	0
chr18	TRUE	635662
chr18_gl000207_random	TRUE	0
chr19	TRUE	4932970
chr19_gl000208_random	TRUE	79
chr19_gl000209_random	TRUE	40
chr1_gl000191_random	TRUE	15368
chr1_gl000192_random	TRUE	12958
chr2	TRUE	4966625
chr20	TRUE	1755003
chr21	TRUE	1344728
chr21_gl000210_random	TRUE	0
chr22	TRUE	2294825
chr3	TRUE	5326208
chr4	TRUE	2948956
chr4_gl000193_random	TRUE	10
chr4_gl000194_random	TRUE	2153
chr5	TRUE	3044972
chr6	TRUE	3660127
chr7	TRUE	4273186
chr7_gl000195_random	TRUE	49
chr8	TRUE	1476125
chr8_gl000196_random	TRUE	10
chr8_gl000197_random	TRUE	15
chr9	TRUE	3711219
chr9_gl000198_random	TRUE	27
chr9_gl000199_random	TRUE	0
chr9_gl000200_random	TRUE	600
chr9_gl000201_random	TRUE	55
chrM	TRUE	6509111
chrUn_gl000211	TRUE	5597
chrUn_gl000212	TRUE	566
chrUn_gl000213	TRUE	17
chrUn_gl000214	TRUE	13
chrUn_gl000215	TRUE	32
chrUn_gl000216	TRUE	3
chrUn_gl000217	TRUE	37
chrUn_gl000218	TRUE	2447
chrUn_gl000219	TRUE	717
chrUn_gl000220	TRUE	436
chrUn_gl000221	TRUE	114
chrUn_gl000222	TRUE	579
chrUn_gl000223	TRUE	13978
chrUn_gl000224	TRUE	23
chrUn_gl000225	TRUE	10
chrUn_gl000226	TRUE	0
chrUn_gl000227	TRUE	336
chrUn_gl000228	TRUE	34
chrUn_gl000229	TRUE	0
chrUn_gl000230	TRUE	0
chrUn_gl000231	TRUE	1
chrUn_gl000232	TRUE	3
chrUn_gl000233	TRUE	8
chrUn_gl000234	TRUE	6
chrUn_gl000235	TRUE	37
chrUn_gl000236	TRUE	35
chrUn_gl000237	TRUE	7
chrUn_gl000238	TRUE	55
chrUn_gl000239	TRUE	21
chrUn_gl000240	TRUE	39
chrUn_gl000241	TRUE	14
chrUn_gl000242	TRUE	4941
chrUn_gl000243	TRUE	16
chrUn_gl000244	TRUE	2
chrUn_gl000245	TRUE	3
chrUn_gl000246	TRUE	35
chrUn_gl000247	TRUE	87
chrUn_gl000248	TRUE	1
chrUn_gl000249	TRUE	1675
chrX	TRUE	1967101
chrY	TRUE	68941
