id	valid	count
chr1	TRUE	7233115
chr10	TRUE	3633802
chr11	TRUE	5790546
chr12	TRUE	3301300
chr13	TRUE	3224058
chr13_random	TRUE	59621
chr14	TRUE	3325022
chr15	TRUE	3427169
chr16	TRUE	5129479
chr16_random	TRUE	11
chr17	TRUE	17324261
chr17_random	TRUE	21877
chr18	TRUE	2960254
chr19	TRUE	2407663
chr1_random	TRUE	23616
chr2	TRUE	7825406
chr3	TRUE	4528011
chr3_random	TRUE	71
chr4	TRUE	4564624
chr4_random	TRUE	4113
chr5	TRUE	5338224
chr5_random	TRUE	9880
chr6	TRUE	5262054
chr7	TRUE	5229880
chr7_random	TRUE	1229
chr8	TRUE	4165792
chr8_random	TRUE	29405
chr9	TRUE	5445787
chr9_random	TRUE	7677
chrM	TRUE	6208321
chrUn_random	TRUE	63992
chrX	TRUE	3599412
chrX_random	TRUE	14797
chrY	TRUE	1869
chrY_random	TRUE	38417
