id	valid	count
chr1	TRUE	28809991
chr10	TRUE	8490687
chr11	TRUE	16560935
chr11_gl000202_random	TRUE	41
chr12	TRUE	14898134
chr13	TRUE	2986838
chr14	TRUE	5291731
chr15	TRUE	7976967
chr16	TRUE	8421768
chr17	TRUE	10664609
chr17_gl000203_random	TRUE	4777
chr17_gl000204_random	TRUE	48
chr17_gl000205_random	TRUE	119929
chr17_gl000206_random	TRUE	15
chr18	TRUE	3261191
chr18_gl000207_random	TRUE	2
chr19	TRUE	9418482
chr19_gl000208_random	TRUE	480
chr19_gl000209_random	TRUE	76
chr1_gl000191_random	TRUE	95406
chr1_gl000192_random	TRUE	53773
chr2	TRUE	15407744
chr20	TRUE	4420815
chr21	TRUE	4430176
chr21_gl000210_random	TRUE	21
chr22	TRUE	5431165
chr3	TRUE	12558483
chr4	TRUE	8226792
chr4_gl000193_random	TRUE	20234
chr4_gl000194_random	TRUE	51395
chr5	TRUE	13048228
chr6	TRUE	16461705
chr7	TRUE	14135771
chr7_gl000195_random	TRUE	198073
chr8	TRUE	7122754
chr8_gl000196_random	TRUE	2215
chr8_gl000197_random	TRUE	24
chr9	TRUE	10536918
chr9_gl000198_random	TRUE	14679
chr9_gl000199_random	TRUE	1085
chr9_gl000200_random	TRUE	822
chr9_gl000201_random	TRUE	22
chrM	TRUE	15392161
chrUn_gl000211	TRUE	16366
chrUn_gl000212	TRUE	31942
chrUn_gl000213	TRUE	781
chrUn_gl000214	TRUE	254159
chrUn_gl000215	TRUE	1330
chrUn_gl000216	TRUE	3537
chrUn_gl000217	TRUE	802
chrUn_gl000218	TRUE	61101
chrUn_gl000219	TRUE	41662
chrUn_gl000220	TRUE	7597875
chrUn_gl000221	TRUE	38449
chrUn_gl000222	TRUE	8050
chrUn_gl000223	TRUE	15856
chrUn_gl000224	TRUE	45368
chrUn_gl000225	TRUE	741
chrUn_gl000226	TRUE	667
chrUn_gl000227	TRUE	9705
chrUn_gl000228	TRUE	1278
chrUn_gl000229	TRUE	2557
chrUn_gl000230	TRUE	189
chrUn_gl000231	TRUE	140
chrUn_gl000232	TRUE	204
chrUn_gl000233	TRUE	1126
chrUn_gl000234	TRUE	41
chrUn_gl000235	TRUE	122
chrUn_gl000236	TRUE	378
chrUn_gl000237	TRUE	746
chrUn_gl000238	TRUE	216
chrUn_gl000239	TRUE	361
chrUn_gl000240	TRUE	5104
chrUn_gl000241	TRUE	21518
chrUn_gl000242	TRUE	147
chrUn_gl000243	TRUE	9792
chrUn_gl000244	TRUE	110
chrUn_gl000245	TRUE	304
chrUn_gl000246	TRUE	4532
chrUn_gl000247	TRUE	22979
chrUn_gl000248	TRUE	43
chrUn_gl000249	TRUE	8324
chrX	TRUE	9686563
chrY	TRUE	280294
