id	valid	count
chr1	TRUE	22043560
chr10	TRUE	7208220
chr11	TRUE	12581324
chr11_gl000202_random	TRUE	0
chr12	TRUE	11546952
chr13	TRUE	2672582
chr14	TRUE	4826737
chr15	TRUE	5815426
chr16	TRUE	6453816
chr17	TRUE	9694214
chr17_gl000203_random	TRUE	0
chr17_gl000204_random	TRUE	0
chr17_gl000205_random	TRUE	0
chr17_gl000206_random	TRUE	0
chr18	TRUE	2876763
chr18_gl000207_random	TRUE	0
chr19	TRUE	8113152
chr19_gl000208_random	TRUE	0
chr19_gl000209_random	TRUE	0
chr1_gl000191_random	TRUE	0
chr1_gl000192_random	TRUE	0
chr2	TRUE	13388418
chr20	TRUE	4068490
chr21	TRUE	4065355
chr21_gl000210_random	TRUE	0
chr22	TRUE	4587387
chr3	TRUE	10966881
chr4	TRUE	7534384
chr4_gl000193_random	TRUE	0
chr4_gl000194_random	TRUE	0
chr5	TRUE	9601147
chr6	TRUE	12962464
chr7	TRUE	9985578
chr7_gl000195_random	TRUE	0
chr8	TRUE	6537971
chr8_gl000196_random	TRUE	0
chr8_gl000197_random	TRUE	0
chr9	TRUE	7294339
chr9_gl000198_random	TRUE	0
chr9_gl000199_random	TRUE	0
chr9_gl000200_random	TRUE	0
chr9_gl000201_random	TRUE	0
chrM	TRUE	14382983
chrUn_gl000211	TRUE	0
chrUn_gl000212	TRUE	0
chrUn_gl000213	TRUE	0
chrUn_gl000214	TRUE	0
chrUn_gl000215	TRUE	0
chrUn_gl000216	TRUE	0
chrUn_gl000217	TRUE	0
chrUn_gl000218	TRUE	0
chrUn_gl000219	TRUE	0
chrUn_gl000220	TRUE	0
chrUn_gl000221	TRUE	0
chrUn_gl000222	TRUE	0
chrUn_gl000223	TRUE	0
chrUn_gl000224	TRUE	0
chrUn_gl000225	TRUE	0
chrUn_gl000226	TRUE	0
chrUn_gl000227	TRUE	0
chrUn_gl000228	TRUE	0
chrUn_gl000229	TRUE	0
chrUn_gl000230	TRUE	0
chrUn_gl000231	TRUE	0
chrUn_gl000232	TRUE	0
chrUn_gl000233	TRUE	0
chrUn_gl000234	TRUE	0
chrUn_gl000235	TRUE	0
chrUn_gl000236	TRUE	0
chrUn_gl000237	TRUE	0
chrUn_gl000238	TRUE	0
chrUn_gl000239	TRUE	0
chrUn_gl000240	TRUE	0
chrUn_gl000241	TRUE	0
chrUn_gl000242	TRUE	0
chrUn_gl000243	TRUE	0
chrUn_gl000244	TRUE	0
chrUn_gl000245	TRUE	0
chrUn_gl000246	TRUE	0
chrUn_gl000247	TRUE	0
chrUn_gl000248	TRUE	0
chrUn_gl000249	TRUE	0
chrX	TRUE	7331248
chrY	TRUE	128273
