id	valid	count
chr1	TRUE	22136393
chr10	TRUE	6788931
chr11	TRUE	13204320
chr11_gl000202_random	TRUE	7
chr12	TRUE	12257406
chr13	TRUE	2256508
chr14	TRUE	4350865
chr15	TRUE	6073616
chr16	TRUE	6303901
chr17	TRUE	9131768
chr17_gl000203_random	TRUE	1318
chr17_gl000204_random	TRUE	6
chr17_gl000205_random	TRUE	87725
chr17_gl000206_random	TRUE	0
chr18	TRUE	2665925
chr18_gl000207_random	TRUE	0
chr19	TRUE	7645366
chr19_gl000208_random	TRUE	45
chr19_gl000209_random	TRUE	9
chr1_gl000191_random	TRUE	13131
chr1_gl000192_random	TRUE	4171
chr2	TRUE	11932436
chr20	TRUE	3628496
chr21	TRUE	3840987
chr21_gl000210_random	TRUE	0
chr22	TRUE	4442906
chr3	TRUE	9389290
chr4	TRUE	5989299
chr4_gl000193_random	TRUE	15523
chr4_gl000194_random	TRUE	26784
chr5	TRUE	9061347
chr6	TRUE	13361374
chr7	TRUE	9805440
chr7_gl000195_random	TRUE	117016
chr8	TRUE	5505210
chr8_gl000196_random	TRUE	270
chr8_gl000197_random	TRUE	0
chr9	TRUE	6363997
chr9_gl000198_random	TRUE	11300
chr9_gl000199_random	TRUE	92
chr9_gl000200_random	TRUE	183
chr9_gl000201_random	TRUE	1
chrM	TRUE	14048055
chrUn_gl000211	TRUE	3944
chrUn_gl000212	TRUE	19702
chrUn_gl000213	TRUE	145
chrUn_gl000214	TRUE	118436
chrUn_gl000215	TRUE	154
chrUn_gl000216	TRUE	421
chrUn_gl000217	TRUE	66
chrUn_gl000218	TRUE	29759
chrUn_gl000219	TRUE	28409
chrUn_gl000220	TRUE	2168879
chrUn_gl000221	TRUE	3242
chrUn_gl000222	TRUE	3464
chrUn_gl000223	TRUE	2481
chrUn_gl000224	TRUE	27896
chrUn_gl000225	TRUE	185
chrUn_gl000226	TRUE	166
chrUn_gl000227	TRUE	600
chrUn_gl000228	TRUE	301
chrUn_gl000229	TRUE	738
chrUn_gl000230	TRUE	44
chrUn_gl000231	TRUE	59
chrUn_gl000232	TRUE	26
chrUn_gl000233	TRUE	250
chrUn_gl000234	TRUE	11
chrUn_gl000235	TRUE	23
chrUn_gl000236	TRUE	26
chrUn_gl000237	TRUE	213
chrUn_gl000238	TRUE	46
chrUn_gl000239	TRUE	23
chrUn_gl000240	TRUE	687
chrUn_gl000241	TRUE	14109
chrUn_gl000242	TRUE	10
chrUn_gl000243	TRUE	1514
chrUn_gl000244	TRUE	10
chrUn_gl000245	TRUE	34
chrUn_gl000246	TRUE	1883
chrUn_gl000247	TRUE	2039
chrUn_gl000248	TRUE	1
chrUn_gl000249	TRUE	253
chrX	TRUE	6380685
chrY	TRUE	43614
