id	valid	count
chr1	TRUE	25802516
chr10	TRUE	5802616
chr11	TRUE	9040289
chr12	TRUE	5779489
chr13	TRUE	6106978
chr13_random	TRUE	45355
chr14	TRUE	5575800
chr15	TRUE	5255535
chr16	TRUE	7779423
chr16_random	TRUE	2356
chr17	TRUE	20900679
chr17_random	TRUE	55725
chr18	TRUE	4282465
chr19	TRUE	3327743
chr1_random	TRUE	43534
chr2	TRUE	16008452
chr3	TRUE	9954047
chr3_random	TRUE	100
chr4	TRUE	8315768
chr4_random	TRUE	5943
chr5	TRUE	8504836
chr5_random	TRUE	16468
chr6	TRUE	10652677
chr7	TRUE	8445180
chr7_random	TRUE	4763
chr8	TRUE	6258173
chr8_random	TRUE	49812
chr9	TRUE	10467386
chr9_random	TRUE	12857
chrM	TRUE	6470339
chrUn_random	TRUE	195266
chrX	TRUE	6880069
chrX_random	TRUE	32767
chrY	TRUE	59236
chrY_random	TRUE	438153
