intron	mm	del	ins
171122	4947343	30746	0
342730	1905112	17670	0
492161	1731111	9981	0
524549	1152703	7454	0
583206	765327	5348	0
566817	1159249	4815	0
601367	789850	4154	0
584186	518021	4400	0
581465	1176737	4306	2335
605652	492187	5393	3007
644037	1239427	5059	4726
623955	431262	5477	5712
614274	427107	6891	6335
623144	481291	6547	7619
627542	455880	11880	10082
615730	563613	11518	10874
642172	553601	11635	11571
620248	427998	11964	11665
633501	1349374	11833	12113
632874	475714	11895	11888
625023	538310	11291	11539
637596	514114	12660	11219
619153	396258	11693	10601
627089	475161	11655	9744
607249	467757	17855	8927
607303	824141	11835	10213
610728	487914	11647	10468
605887	530763	11767	10812
620412	450922	11889	11059
617365	460834	11942	11282
605732	501036	11897	11295
620163	611766	11941	11523
623330	449540	11821	11437
611063	670155	11879	11738
609466	524729	11877	11594
610062	436270	11706	11278
624421	456504	13070	10374
611438	696019	12712	10691
611971	1729318	12351	10753
600462	795087	11835	11080
608760	446190	11360	10843
615950	465054	11372	10571
604820	557844	11122	10652
602697	477912	10777	10712
596818	643486	10750	10830
597773	450299	10508	10859
594988	487425	10716	10757
583167	480078	10503	10394
578408	544255	10596	9722
581730	487124	16386	9136
580706	431076	11001	8120
581031	454015	10898	9386
579456	465594	11913	9867
582912	466022	10949	10358
576207	442467	10668	10365
581543	435604	10666	10402
580962	438563	10792	10243
569498	451171	10967	10185
561975	448586	10982	10100
565447	453471	10277	9810
556292	396397	10756	9091
540452	424475	7023	8436
537815	437976	7076	6955
532032	435768	7104	5942
524625	398033	4733	5284
518722	1041507	4437	4098
511497	520525	4040	2389
498936	381864	3743	1717
481923	564132	3463	0
484010	461646	3358	0
462333	274206	3524	0
454285	342792	3894	0
417262	440456	4703	0
298382	353854	6257	0
173159	305131	8708	0
0	301439	0	0
