id	valid	count
chr1	TRUE	6907458
chr10	TRUE	3739578
chr11	TRUE	6528944
chr12	TRUE	3362646
chr13	TRUE	3343112
chr13_random	TRUE	0
chr14	TRUE	2961046
chr15	TRUE	3283100
chr16	TRUE	5464458
chr16_random	TRUE	0
chr17	TRUE	18859704
chr17_random	TRUE	0
chr18	TRUE	2483616
chr19	TRUE	2477238
chr1_random	TRUE	0
chr2	TRUE	7254370
chr3	TRUE	4621894
chr3_random	TRUE	0
chr4	TRUE	4480180
chr4_random	TRUE	0
chr5	TRUE	4871656
chr5_random	TRUE	0
chr6	TRUE	4744816
chr7	TRUE	4997498
chr7_random	TRUE	0
chr8	TRUE	3829604
chr8_random	TRUE	0
chr9	TRUE	6372214
chr9_random	TRUE	0
chrM	TRUE	6269666
chrUn_random	TRUE	0
chrX	TRUE	3029258
chrX_random	TRUE	0
chrY	TRUE	1420
chrY_random	TRUE	0
