intron	mm	del	ins
0	0	0	0
0	0	0	0
0	0	0	0
0	1276529	0	0
0	1089341	6569	0
0	1536214	8964	8816
0	1338980	11058	8694
0	1118605	15175	12130
0	1757246	16018	16141
0	1173207	16942	14313
0	1878642	20300	15280
0	1143120	25026	17282
0	1141245	23242	21555
0	1168825	23209	21575
0	1214876	23492	23063
0	1384205	24396	26998
0	1330124	26841	26863
0	1244339	29263	30802
0	2204242	28349	41766
377090	1369163	28138	31347
374272	1388797	28479	37629
376750	1378165	29465	41138
378280	1244784	28827	52722
373062	1367733	30473	52833
372967	1353551	28530	58696
377084	1724513	28756	71403
374627	1435780	28266	73160
372146	1459211	27510	81093
374209	1392135	28791	80449
370394	1408326	28989	82508
367725	1452415	28654	94750
371869	1562286	30205	103434
364905	1439984	30803	108133
349561	1676178	31290	96380
328868	1542870	33723	79292
260645	1516285	32344	67782
118385	1505324	32205	60527
31010	1810301	31277	59670
17404	2826806	31192	59820
8262	1903405	32904	54718
6774	1612023	32780	52119
4936	1624958	34230	51986
4002	1772719	34509	51800
3263	1680285	33169	49125
2440	1904827	40825	50292
1857	1738981	34160	48802
1593	1779294	32782	47386
1350	1786224	31518	44728
1004	1883359	31941	45791
854	1833574	31596	46472
701	1858508	33140	43765
486	1900511	32644	44044
420	1930015	32507	44567
410	1961940	32339	41667
170	2045951	33803	40594
84	2069232	33504	41131
0	2062786	33164	38935
0	2084785	34055	38684
0	2078283	32818	38725
0	2156962	32856	36927
0	2173902	30514	35101
0	2179113	32157	34077
0	2187136	29499	33159
0	2215978	29529	31720
0	2220849	27585	32496
0	3292587	25234	32260
0	2516673	25100	27301
0	2220862	23823	22782
0	2470218	19299	18320
0	2529713	16121	17347
0	2191562	14085	16328
0	1977441	0	0
0	1971063	0	0
0	0	0	0
0	0	0	0
0	0	0	0
