intron	mm	del	ins
0	0	0	0
0	0	0	0
0	628234	0	0
0	644453	0	0
291	672451	2	0
671	659648	10	0
1323	685654	63	6
4268	688915	932	216
14587	710195	6072	1265
44857	680103	17631	4677
82187	709043	29271	9119
110850	668901	28986	12633
129839	709554	33579	14432
138597	684477	35514	16867
144957	722013	33486	20697
151603	729803	34913	28136
161177	752848	36755	40479
155784	759901	37377	51509
155200	793489	41416	55183
157987	777455	38040	57976
160123	778917	37796	60981
162919	885932	48165	62468
160956	894196	40271	62775
172562	892895	40490	65503
164804	870833	40513	64130
166739	855166	41213	63969
170500	864424	40238	64144
171191	886548	39793	105595
173460	920736	44475	63413
174709	929296	45477	64095
173952	942457	41089	64925
173644	973112	41127	66124
174292	1012901	42404	66263
177328	1017740	42273	66817
171880	1102544	42220	66607
182836	1119214	41856	68148
177716	1174316	40377	70255
174096	1199444	41351	68940
173832	1248780	39884	65813
170167	1145816	39828	64899
169121	1126012	40886	65327
166986	1170382	40241	63940
170674	1186010	38862	62865
164359	1226120	38748	61446
165795	1221394	38381	62012
162741	1233379	37314	59815
159434	1304548	37115	57523
159756	1309492	40225	58278
156176	1365891	36177	58247
148567	1357113	36406	57576
144723	1414287	35487	55704
143250	1434571	35301	56415
138985	1481877	35654	56324
137564	1529323	33208	54136
132479	1549342	32123	49722
127587	1597730	30528	49080
124228	1602376	33842	47104
121001	1634946	28807	41132
124737	1695987	28647	38166
116161	1744044	30890	30562
109979	1788353	24669	21727
101965	1848689	24258	16048
95227	1914488	22563	12543
79267	1969691	20350	10900
58067	2025388	18436	9226
33330	2006151	12485	6802
11124	2070996	3973	3624
3404	2069108	790	1004
1000	2103051	71	197
265	2143875	17	2
57	2208926	1	0
0	2229370	0	0
0	2152169	0	0
0	1996571	0	0
0	0	0	0
0	0	0	0
