intron	mm	del	ins
0	193435	0	0
0	124613	19	3
10	70292	47	6
17	72865	23079	7
33	352564	39398	18241
48	273033	35861	20321
53	225127	15765	31523
120	219396	22893	23577
35999	259035	17015	34486
80318	246749	24748	29753
111083	280620	25084	21516
106310	318995	18263	13982
105853	330762	29507	21853
114044	300352	14486	23111
116000	270633	13011	15510
122415	326830	19299	30611
122181	306166	24599	18671
124924	348203	24109	51027
130711	340884	22873	26652
123196	409784	35728	30416
123308	420949	40431	57162
126839	378131	13538	75891
122704	363734	27582	85695
122994	424537	48705	85703
128210	450201	47888	69578
126915	429428	42661	55104
127846	356638	28989	70148
130415	447567	23777	53056
127038	411982	19250	77631
125563	428042	17506	123309
130454	442220	21898	54882
125900	478577	14750	44972
126047	420677	27534	53790
128460	437653	19809	71378
123781	480231	37654	70805
127130	498272	32152	84513
131927	417831	27714	165134
127382	483363	26176	71755
127663	495756	19089	62566
131081	477152	18831	58422
127385	511037	18626	60964
128508	487960	28340	60010
130397	553522	22605	54619
126745	507837	17560	51975
127302	597795	17129	46987
128745	542951	33309	48249
127294	645788	50770	46774
126838	574125	64567	48094
131158	650569	27292	48106
125519	541124	33594	51765
126428	570315	18158	55092
129053	613897	24949	51282
126642	606471	23765	47499
127000	656882	16375	49441
127912	569824	19213	42201
125203	579277	16030	34969
126524	597127	18818	33485
129664	599093	26961	26131
124197	637752	13568	20529
121453	650163	16610	20983
123510	616075	27277	27341
117596	646749	13331	23539
113118	613287	15702	28312
107483	590036	14917	19557
98152	580394	14283	20050
83772	681732	17492	20861
51670	719010	15376	22766
45	647116	37434	25786
34	610185	12322	19029
25	610673	28901	22666
22	573016	15975	14034
4	539310	24983	13620
0	85274	25	7
0	73361	25	13
0	110751	0	9
0	115799	0	0
