id	valid	count
chr1	TRUE	7129086
chr10	TRUE	3134486
chr11	TRUE	3126688
chr11_gl000202_random	TRUE	2
chr12	TRUE	2834549
chr13	TRUE	713591
chr14	TRUE	2028093
chr15	TRUE	3322806
chr16	TRUE	4155086
chr17	TRUE	5244494
chr17_gl000203_random	TRUE	0
chr17_gl000204_random	TRUE	99
chr17_gl000205_random	TRUE	26
chr17_gl000206_random	TRUE	2
chr18	TRUE	588541
chr18_gl000207_random	TRUE	0
chr19	TRUE	4635636
chr19_gl000208_random	TRUE	21
chr19_gl000209_random	TRUE	0
chr1_gl000191_random	TRUE	2206
chr1_gl000192_random	TRUE	12824
chr2	TRUE	3962710
chr20	TRUE	1633012
chr21	TRUE	1186133
chr21_gl000210_random	TRUE	15
chr22	TRUE	2083628
chr3	TRUE	4802262
chr4	TRUE	2134077
chr4_gl000193_random	TRUE	2
chr4_gl000194_random	TRUE	11374
chr5	TRUE	2502007
chr6	TRUE	2815055
chr7	TRUE	3514063
chr7_gl000195_random	TRUE	1448
chr8	TRUE	1451838
chr8_gl000196_random	TRUE	899
chr8_gl000197_random	TRUE	694
chr9	TRUE	2746380
chr9_gl000198_random	TRUE	10
chr9_gl000199_random	TRUE	3
chr9_gl000200_random	TRUE	122
chr9_gl000201_random	TRUE	294
chrM	TRUE	44515
chrUn_gl000211	TRUE	6330
chrUn_gl000212	TRUE	48
chrUn_gl000213	TRUE	6
chrUn_gl000214	TRUE	56
chrUn_gl000215	TRUE	74
chrUn_gl000216	TRUE	1
chrUn_gl000217	TRUE	49
chrUn_gl000218	TRUE	5523
chrUn_gl000219	TRUE	138
chrUn_gl000220	TRUE	40
chrUn_gl000221	TRUE	264
chrUn_gl000222	TRUE	70
chrUn_gl000223	TRUE	11636
chrUn_gl000224	TRUE	82
chrUn_gl000225	TRUE	4
chrUn_gl000226	TRUE	0
chrUn_gl000227	TRUE	268
chrUn_gl000228	TRUE	33
chrUn_gl000229	TRUE	3
chrUn_gl000230	TRUE	2
chrUn_gl000231	TRUE	9
chrUn_gl000232	TRUE	5
chrUn_gl000233	TRUE	37
chrUn_gl000234	TRUE	6
chrUn_gl000235	TRUE	4
chrUn_gl000236	TRUE	11
chrUn_gl000237	TRUE	6
chrUn_gl000238	TRUE	239
chrUn_gl000239	TRUE	4
chrUn_gl000240	TRUE	127
chrUn_gl000241	TRUE	980
chrUn_gl000242	TRUE	2
chrUn_gl000243	TRUE	117
chrUn_gl000244	TRUE	1
chrUn_gl000245	TRUE	1
chrUn_gl000246	TRUE	9
chrUn_gl000247	TRUE	690
chrUn_gl000248	TRUE	1974
chrUn_gl000249	TRUE	66
chrX	TRUE	1435666
chrY	TRUE	74293
