id	valid	count
chr1	TRUE	7481655
chr10	TRUE	3665519
chr11	TRUE	4020042
chr11_gl000202_random	TRUE	4
chr12	TRUE	3816411
chr13	TRUE	962729
chr14	TRUE	2065603
chr15	TRUE	2314232
chr16	TRUE	2666339
chr17	TRUE	4642551
chr17_gl000203_random	TRUE	4
chr17_gl000204_random	TRUE	10
chr17_gl000205_random	TRUE	358
chr17_gl000206_random	TRUE	3
chr18	TRUE	585775
chr18_gl000207_random	TRUE	0
chr19	TRUE	4913833
chr19_gl000208_random	TRUE	4
chr19_gl000209_random	TRUE	11
chr1_gl000191_random	TRUE	240
chr1_gl000192_random	TRUE	85
chr2	TRUE	4740314
chr20	TRUE	1723450
chr21	TRUE	1299591
chr21_gl000210_random	TRUE	1
chr22	TRUE	2096782
chr3	TRUE	5183027
chr4	TRUE	2850250
chr4_gl000193_random	TRUE	12
chr4_gl000194_random	TRUE	1178
chr5	TRUE	2785634
chr6	TRUE	3154867
chr7	TRUE	3754221
chr7_gl000195_random	TRUE	304
chr8	TRUE	1342389
chr8_gl000196_random	TRUE	1
chr8_gl000197_random	TRUE	2
chr9	TRUE	3331788
chr9_gl000198_random	TRUE	4
chr9_gl000199_random	TRUE	1
chr9_gl000200_random	TRUE	12
chr9_gl000201_random	TRUE	5
chrM	TRUE	6213132
chrUn_gl000211	TRUE	40
chrUn_gl000212	TRUE	394
chrUn_gl000213	TRUE	11
chrUn_gl000214	TRUE	9
chrUn_gl000215	TRUE	3
chrUn_gl000216	TRUE	2
chrUn_gl000217	TRUE	10
chrUn_gl000218	TRUE	1595
chrUn_gl000219	TRUE	22
chrUn_gl000220	TRUE	13
chrUn_gl000221	TRUE	3
chrUn_gl000222	TRUE	10
chrUn_gl000223	TRUE	67
chrUn_gl000224	TRUE	12
chrUn_gl000225	TRUE	11
chrUn_gl000226	TRUE	0
chrUn_gl000227	TRUE	1
chrUn_gl000228	TRUE	3
chrUn_gl000229	TRUE	1
chrUn_gl000230	TRUE	3
chrUn_gl000231	TRUE	1
chrUn_gl000232	TRUE	4
chrUn_gl000233	TRUE	2
chrUn_gl000234	TRUE	2
chrUn_gl000235	TRUE	2
chrUn_gl000236	TRUE	1
chrUn_gl000237	TRUE	4
chrUn_gl000238	TRUE	1
chrUn_gl000239	TRUE	4
chrUn_gl000240	TRUE	1
chrUn_gl000241	TRUE	9
chrUn_gl000242	TRUE	13
chrUn_gl000243	TRUE	0
chrUn_gl000244	TRUE	0
chrUn_gl000245	TRUE	1
chrUn_gl000246	TRUE	1
chrUn_gl000247	TRUE	3
chrUn_gl000248	TRUE	4
chrUn_gl000249	TRUE	8
chrX	TRUE	1890147
chrY	TRUE	4242
