id	valid	count
chr1	TRUE	5938576
chr10	TRUE	3843001
chr11	TRUE	6908796
chr12	TRUE	3329271
chr13	TRUE	3342123
chr13_random	TRUE	0
chr14	TRUE	2956598
chr15	TRUE	3209251
chr16	TRUE	4263890
chr16_random	TRUE	0
chr17	TRUE	19072019
chr17_random	TRUE	0
chr18	TRUE	2955395
chr19	TRUE	2461890
chr1_random	TRUE	0
chr2	TRUE	7368376
chr3	TRUE	4669609
chr3_random	TRUE	0
chr4	TRUE	4188032
chr4_random	TRUE	0
chr5	TRUE	5309033
chr5_random	TRUE	0
chr6	TRUE	4767478
chr7	TRUE	5032424
chr7_random	TRUE	0
chr8	TRUE	3797303
chr8_random	TRUE	0
chr9	TRUE	5245179
chr9_random	TRUE	0
chrM	TRUE	4385829
chrUn_random	TRUE	0
chrX	TRUE	3073070
chrX_random	TRUE	0
chrY	TRUE	1077
chrY_random	TRUE	0
